,index,약국ID,주소,약국명,대표전화1,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업일시,geometry
11,11,C1109043,서울특별시 강남구 학동로 지하 346 강남구청역 B1층 111호 (삼성동),강남구청역약국,02-511-6252,2100,2100,2100,2100,2100,1700,1700.0,1700.0,800,800,800,800,800,900,900.0,900.0,60,99,127.04130142966,37.5171892352971,2022-07-20 17:41:59.0,POINT (959464.7823908649 1946532.1602846622)
12,12,C1107162,서울특별시 강남구 남부순환로 2615 (도곡동) 극동스타클래스208호,강남굿모닝약국,02-529-4155,2000,2000,2000,2000,2000,2000,1700.0,1700.0,940,940,940,940,940,940,900.0,900.0,62,67,127.03586946854884,37.4851916952661,2022-07-20 17:41:59.0,POINT (958967.2502453325 1942984.5917769168)
13,13,C1108644,서울특별시 강남구 헌릉로 569 1층 105호 (세곡동),강남리더스약국,02-3414-8001,1930,2000,1930,1930,2000,1600,1700.0,1700.0,900,900,900,900,900,900,900.0,900.0,63,76,127.101226214382,37.4657580150675,2022-07-20 17:41:59.0,POINT (964736.1914845128 1940802.0841995121)
14,14,C1103021,서울특별시 강남구 삼성로 233  (대치동),강남메디칼약국,02-568-6644,1900,1900,1900,1900,1900,1800,1700.0,1700.0,900,900,900,900,900,900,900.0,900.0,62,79,127.0608994403609,37.49805503690625,2022-07-20 17:41:59.0,POINT (961186.7630094321 1944401.0790862932)
15,15,C1107642,서울특별시 서초구 방배로 174 1층 (방배동 태창빌딩),강남메디칼약국,02-594-0801,2000,2000,2000,2000,2000,1600,1700.0,1700.0,830,830,830,830,830,830,900.0,900.0,65,86,126.9930618216,37.4891829962,2022-07-20 17:41:59.0,POINT (955185.0808569979 1943446.9182852607)
16,16,C1107703,서울특별시 강남구 논현로86길 22 1층 (역삼동),강남미소약국,02-555-5640,2100,2100,2100,2100,2100,1400,1700.0,1700.0,900,900,900,900,900,900,900.0,900.0,62,23,127.0393552042,37.5000319762,2022-07-20 17:41:59.0,POINT (959283.475094275 1944629.5101170451)
17,17,C1108405,서울특별시 강남구 강남대로 376 1층 1호 (역삼동),강남미약국,02-501-2105,2100,2100,2100,2100,2100,2000,1900.0,1800.0,830,830,830,830,830,800,900.0,900.0,62,32,127.02877320469663,37.496564351083066,2022-07-20 17:41:59.0,POINT (958346.1975735272 1944249.4299130768)
18,18,C1101932,서울특별시 강남구 도곡로 448  (대치동),강남백세약국,02-566-3138,1930,1930,1930,1930,1930,1930,1900.0,1900.0,800,800,800,800,800,800,1100.0,1100.0,62,79,127.0595469672,37.4981097868,2022-07-20 17:41:59.0,POINT (961067.2422098975 1944407.7118188539)
19,19,C1104900,서울특별시 강남구 도곡로 516  (대치동),강남보선약국,02-568-2310,2200,2200,2200,2200,2200,2200,1900.0,1900.0,1000,1000,1000,1000,1000,1000,1100.0,1100.0,62,82,127.0629902287,37.4991820003,2022-07-20 17:41:59.0,POINT (961372.1546778219 1944525.2481611348)
20,20,C1107954,서울특별시 강남구 역삼로 118 1층 (역삼동),강남봄약국,02-557-9480,1900,1900,1900,1900,1900,2200,1900.0,1900.0,900,900,900,900,900,1000,1100.0,1100.0,62,51,127.032179999229,37.4934315723756,2022-07-20 17:41:59.0,POINT (958645.6134263158 1943900.3662201057)
21,21,C1103022,서울특별시 서초구 효령로 12 1층 (방배동),강남사랑약국,02-523-9775,1830,1830,1830,1830,1830,1400,1900.0,1900.0,830,830,830,830,830,830,1100.0,1100.0,66,98,126.98672739170458,37.47687106368012,2022-07-20 17:41:59.0,POINT (954617.6471909888 1942084.0238971233)
22,23,C1107514,서울특별시 강남구 언주로 309 1층 (역삼동),강남샘약국,02-508-2333,1830,1830,1830,1830,1830,1400,2230.0,2230.0,930,930,930,930,930,930,1300.0,1300.0,62,29,127.045734972,37.4950921633,2022-07-20 17:41:59.0,POINT (959844.742667089 1944078.7290382497)
23,24,C1103826,서울특별시 강남구 논현로 52 남현빌딩 1층 (개포동),강남세계로약국,02-572-2720,2130,2130,2130,2130,2130,2130,2000.0,1900.0,900,900,900,900,900,900,1030.0,1030.0,63,12,127.04758143371768,37.47521158662983,2022-07-20 17:41:59.0,POINT (959997.3647600332 1941872.3267669114)
24,25,C1107656,서울특별시 강남구 강남대로 416 1층 (역삼동 창림빌딩),강남씨티약국,02-553-1608,2130,2130,2130,2130,2130,2130,2030.0,2030.0,830,830,830,830,830,830,1000.0,1000.0,61,29,127.0271595299,37.499797544,2022-07-20 17:41:59.0,POINT (958205.3589800347 1944608.8473079)
25,26,C1104119,서울특별시 서초구 강남대로 463 102호 (서초동리젠타워),강남약국,070-7755-2030,2100,2100,2100,2100,2100,1900,2030.0,2030.0,900,900,900,900,900,900,1000.0,1000.0,66,11,127.02445563147955,37.50347063453143,2022-07-20 17:41:59.0,POINT (957968.4175057848 1945017.5576228611)
26,27,C1101935,서울특별시 강동구 양재대로 1355,강남약국,02-486-7823,2100,2100,2100,2100,2100,1900,1500.0,2030.0,900,900,900,900,900,900,900.0,1000.0,54,4,127.13574399002972,37.52761349958293,2022-07-20 17:41:59.0,POINT (967815.1879529784 1947652.163715935)
27,28,C1107458,서울특별시 금천구 남부순환로 1372 (독산동 현경빌딩),강남약국,02-851-1630,1800,1800,1800,1800,1800,1900,1500.0,2030.0,900,900,900,900,900,900,900.0,1000.0,85,37,126.9034750508142,37.47945973311692,2022-07-20 17:41:59.0,POINT (947258.4262043602 1942414.5980573017)
28,29,C1109069,서울특별시 서초구 서초대로77길 9 강남 누드죤빌딩 104호 (서초동),강남엘약국,02-533-7737,2000,2000,2000,2000,2100,1800,1500.0,2030.0,1000,1000,1000,1000,1000,930,900.0,1000.0,66,15,127.026213341634,37.49858941826,2022-07-20 17:41:59.0,POINT (958121.0496368904 1944475.2340648198)
29,30,C1108170,서울특별시 강남구 테헤란로4길 6 지하1층 b106호 (역삼동),강남역스타약국,02-6326-8908,2100,2100,2030,2100,2100,1700,1500.0,2030.0,900,900,900,900,900,900,900.0,1000.0,62,32,127.0292847769,37.4976670574,2022-07-20 17:41:59.0,POINT (958392.0297731382 1944371.5418142702)
30,31,C1108450,서울특별시 강남구 선릉로 406 102호 (대치동),강남온누리약국,02-566-6480,2100,2100,2100,2100,2100,1900,2200.0,2200.0,800,800,800,800,800,900,800.0,800.0,61,98,127.05083230469889,37.50115565458079,2022-07-20 17:41:59.0,POINT (960298.5397504019 1944749.271605796)
31,32,C1104835,서울특별시 강남구 테헤란로 403,강남우리약국,02-565-7940,1930,1930,1930,1930,1930,1630,2200.0,2200.0,830,830,830,830,830,830,800.0,800.0,61,62,127.0495513661269,37.50506859991256,2022-07-20 17:41:59.0,POINT (960187.3961845671 1945183.9289634987)
32,34,C1108262,서울특별시 강남구 언주로 639 1층 (논현동),강남정성약국,02-3446-9720,2000,2000,2000,2000,2000,1500,2030.0,2100.0,900,900,900,900,900,900,1000.0,1000.0,61,5,127.034960089098,37.51361691059559,2022-07-20 17:41:59.0,POINT (958902.43560861 1946138.583833808)
33,35,C1101938,서울특별시 강남구 테헤란로 139,강남제일약국,02-555-7790,2000,2000,2000,2000,2000,1630,2030.0,2100.0,1000,1000,1000,1000,1000,1000,1000.0,1000.0,61,32,127.034389865201,37.50035616396546,2022-07-20 17:41:59.0,POINT (958844.7627843979 1944667.6363629098)
34,36,C1103935,서울특별시 강남구 남부순환로 2633,강남조은약국,02-571-9515,1800,1800,1800,1800,1800,1400,2030.0,2100.0,830,830,830,830,830,830,1000.0,1000.0,62,68,127.03778434301532,37.4853697398066,2022-07-20 17:41:59.0,POINT (959136.6379850222 1943003.5117824418)
35,37,C1109110,서울특별시 강남구 강남대로94길 27 1층 105호 (역삼동),강남차차약국,02-6465-4152,2100,2100,2100,2100,2100,2000,2030.0,2100.0,830,830,830,830,830,1500,1000.0,1000.0,61,30,127.029506833445,37.499852933462,2022-07-20 17:41:59.0,POINT (958412.8704320559 1944613.9526255114)
36,38,C1101939,서울특별시 강남구 도산대로 104 (논현동 1st Avenue),강남퍼스트약국,02-515-7292,2100,2100,2100,2100,2100,1800,2030.0,2100.0,1000,1000,1000,1000,1000,1000,1000.0,1000.0,60,38,127.0203424,37.5160782711,2022-07-20 17:41:59.0,POINT (957611.9923611128 1946418.1422874664)
37,39,C1103508,서울특별시 강남구 학동로 323 (논현동 한미빌딩),강남프라자약국,02-514-4222,2100,2100,2100,2100,2100,2100,2000.0,2100.0,900,900,900,900,900,900,1000.0,900.0,60,60,127.0383413338,37.5165747578,2022-07-20 17:41:59.0,POINT (959202.8625596364 1946465.2672642868)
38,40,C1103023,서울특별시 강남구 학동로 342,강남허브약국,02-3014-9272,2030,2030,2030,2030,2030,1800,2000.0,2100.0,830,830,830,830,830,830,1000.0,900.0,60,99,127.0410391332477,37.51679913320769,2022-07-20 17:41:59.0,POINT (959441.3919789343 1946488.9938870985)
39,41,C1108720,서울특별시 강동구 양재대로 1465 마루홈타운 107호 (길동),강동더본약국,02-477-8280,2030,2030,2030,2030,2030,1930,2000.0,2100.0,830,830,830,830,830,830,1000.0,900.0,53,53,127.139314330701,37.5368399179472,2022-07-20 17:41:59.0,POINT (968134.5816923796 1948674.5621111193)
40,42,C1101883,서울특별시 강동구 올림픽로 686,강동메디칼약국,02-483-0108,2100,2100,2100,2100,2100,1300,2000.0,2100.0,830,830,830,830,830,900,1000.0,900.0,53,27,127.12502568579208,37.5425023899493,2022-07-20 17:41:59.0,POINT (966874.7264406789 1949307.7171447338)
41,43,C1101884,서울특별시 강동구 올림픽로 782,강동미래약국,02-442-6263,1930,1930,1930,1930,1930,1700,2000.0,2100.0,900,900,900,900,900,900,1000.0,900.0,52,64,127.12811317648688,37.5509360017334,2022-07-20 17:41:59.0,POINT (967151.1777317938 1950242.2936179552)
42,44,C1109427,서울특별시 영등포구 영중로 125 롯데마트 1층 (영등포동8가),365마트약국,02-2633-4865,2200,2200,2200,2200,2200,2200,2200.0,2200.0,1000,1000,1000,1000,1000,1000,1000.0,1000.0,72,28,126.904683469106,37.5278167645388,2022-07-20 17:41:59.0,POINT (947399.2073405175 1947778.8576806583)
43,45,C1101885,서울특별시 강동구 성내로 40  (성내동),강동보건약국,02-488-4100,1900,1900,1900,1900,1900,1500,2000.0,2100.0,900,900,900,900,900,900,1000.0,900.0,53,99,127.12461846664074,37.528814931263405,2022-07-20 17:41:59.0,POINT (966832.6909935282 1947789.3201840406)
44,46,C1108330,서울특별시 강동구 동남로73길 13 1층 (명일동),강동새경희약국,02-3428-0100,1900,1900,1900,1900,1900,1600,2000.0,2100.0,900,900,900,900,900,900,1000.0,900.0,52,69,127.15546283745088,37.55274211724534,2022-07-20 17:41:59.0,POINT (969567.719889429 1950433.4663025935)
45,48,C1107806,서울특별시 강남구 강남대로 292 3층 (도곡동 뱅뱅빌딩),강남맑은약국,02-573-8798,1830,1830,1830,1800,1830,1400,1700.0,1700.0,900,900,900,900,900,900,900.0,900.0,62,58,127.0321988392,37.4893770339,2022-03-20 17:41:52.0,POINT (958645.0434611955 1943450.5334644392)
46,49,C1107888,서울특별시 강동구 천호대로 1111 1층 (길동 정우빌딩),강동소망약국,02-487-6464,1900,1900,1900,1900,1900,1500,2200.0,2200.0,830,830,830,830,830,830,1400.0,1400.0,53,55,127.1351063207,37.5353814932,2022-07-20 17:41:59.0,POINT (967762.1884203936 1948514.1929980945)
47,50,C1108640,서울특별시 강동구 양재대로 1473 희헌타워 1층 (길동),강동솔약국,02-474-2696,2100,2100,2100,2100,2100,2100,2200.0,2200.0,900,900,900,900,900,900,1400.0,1400.0,53,53,127.139588829365,37.5375121901099,2022-07-20 17:41:59.0,POINT (968159.1187032536 1948749.0536354699)
48,51,C1108694,서울특별시 강동구 천호대로 1195 지앤지타워 1층 101호 (길동),강동엠약국,02-472-3311,1900,1900,1900,1900,1900,1300,2200.0,2200.0,900,900,900,900,900,900,1400.0,1400.0,53,50,127.143907731631,37.5350394377715,2022-07-20 17:41:59.0,POINT (968539.6388744268 1948473.2632715653)
49,52,C1109272,서울특별시 강동구 양재대로 1570 미래빌딩 1층 (명일동),강동온누리약국,02-2135-7572,2100,2100,2100,2100,2100,1800,1700.0,2200.0,900,900,900,900,900,900,1000.0,1400.0,52,96,127.143242072187,37.5456635684848,2022-07-20 17:41:59.0,POINT (968485.300368399 1949652.1693119023)
50,53,C1101886,서울특별시 강동구 천호대로173길 12,강동우리약국,02-479-1150,1830,1900,1830,1830,1830,1330,1700.0,2200.0,830,830,830,830,830,830,1000.0,1400.0,53,55,127.13554110134103,37.53561815539854,2022-07-20 17:41:59.0,POINT (967800.7025319854 1948540.3002680612)
51,54,C1109380,서울특별시 강동구 동남로 891 103호 (명일동),강동원약국,02-6081-0101,1800,1800,1800,1800,1800,1300,1700.0,2200.0,900,900,900,900,900,900,1000.0,1400.0,52,69,127.155947723578,37.5533185664951,2022-07-20 17:41:59.0,POINT (969610.7831158701 1950497.263117553)
52,55,C1108786,서울특별시 강동구 천호대로 1124 1층 (성내동),강동웰빙약국,02-473-4959,2000,2000,2000,2000,2000,1530,1700.0,2200.0,900,900,900,900,900,830,1000.0,1400.0,53,73,127.136192062668,37.5343360769717,2022-07-20 17:41:59.0,POINT (967857.663755061 1948397.8388212651)
53,56,C1103357,서울특별시 강동구 양재대로 1343 (성내동),강동태평양약국,02-473-3377,2240,2240,2240,2240,2240,2240,2200.0,2200.0,900,900,900,900,900,900,900.0,900.0,54,5,127.13527563557126,37.52634903516902,2022-07-20 17:41:59.0,POINT (967773.2611340815 1947512.039675099)
54,57,C1107508,서울특별시 강동구 진황도로 74 (천호동),강동포도약국,02-423-3005,2000,2000,2000,2000,2000,1500,2200.0,2200.0,830,830,830,830,830,900,900.0,900.0,53,39,127.13477850597933,37.53680544768918,2022-07-20 17:41:59.0,POINT (967733.8399170237 1948672.284501156)
55,58,C1103014,서울특별시 강동구 올림픽로 624,강동프라자약국,02-470-0203,1930,1930,1930,1930,1930,1430,2200.0,2200.0,840,840,840,840,840,840,900.0,900.0,53,78,127.12326975506056,37.53705861609,2022-07-20 17:41:59.0,POINT (966717.1870602703 1948704.3830775572)
56,59,C1102804,서울특별시 강동구 올림픽로 778,강동한우리약국,02-481-3237,2200,2200,2200,2200,2200,2130,2100.0,1930.0,900,900,900,900,900,900,1000.0,930.0,52,64,127.12794479697116,37.550406399685095,2022-07-20 17:41:59.0,POINT (967136.0721509267 1950183.596189808)
57,60,C1102825,서울특별시 강동구 양재대로 1589,강동해오름약국,02-474-4666,1930,1930,1930,1930,1930,1700,2100.0,1930.0,900,900,900,900,900,900,1000.0,930.0,53,7,127.14300831220342,37.54749532939716,2022-07-20 17:41:59.0,POINT (968465.4224420004 1949855.4707194243)
58,61,C1104363,서울특별시 동작구 시흥대로 668-2 (신대방동),강림약국,02-832-8975,2130,2130,2130,2130,2130,2130,2100.0,1930.0,900,900,900,900,900,900,1000.0,930.0,70,68,126.90856211712637,37.49106155539128,2022-07-20 17:41:59.0,POINT (947716.2878375164 1943698.912312044)
59,62,C1101896,서울특별시 광진구 광나루로56길 63 (구의동) 프라임프라자상가 1층,강변그랜드약국,02-447-4842,2100,2100,2100,2100,2100,1800,1800.0,1930.0,830,830,830,830,830,830,900.0,930.0,51,19,127.09615979283743,37.53678914848484,2022-07-20 17:41:59.0,POINT (964321.977389605 1948684.4275485545)
60,63,C1108680,서울특별시 강북구 도봉로49길 8 1층 (미아동),강북김약국,02-980-1717,2000,2000,2000,2000,2000,1500,1800.0,1930.0,900,900,900,900,900,900,900.0,930.0,11,70,127.0259544037,37.62527554794,2022-07-20 17:41:59.0,POINT (958169.0541738139 1958530.5157938886)
61,64,C1103266,서울특별시 강북구 도봉로 79 (미아동),강북다모아약국,02-945-2088,1900,1900,1900,1900,1900,1600,1800.0,1930.0,900,900,900,900,900,900,900.0,930.0,12,5,127.0295432799152,37.61631841523258,2022-07-20 17:41:59.0,POINT (958480.7661536131 1957535.1652163682)
62,65,C1101898,서울특별시 강북구 도봉로 190 (미아동),강북메디칼약국,02-981-9512,1930,1930,1930,1930,1930,1630,1800.0,1930.0,900,900,900,900,900,900,900.0,930.0,11,57,127.02677378590168,37.62585141129103,2022-07-20 17:41:59.0,POINT (958241.6810519181 1958594.0406126645)
63,66,C1104652,서울특별시 동대문구 전농로 110 1층 (답십리동),강북열린약국,02-2248-5023,2000,2000,2000,2000,2000,1530,1800.0,1930.0,830,830,830,830,830,830,900.0,930.0,25,38,127.05772385945151,37.574614418990784,2022-07-20 17:41:59.0,POINT (960946.0111086624 1952896.2117196342)
64,67,C1108406,서울특별시 강북구 한천로 1081 1층 (수유동),강북우리약국,02-900-8345,2100,2100,2100,2100,2100,1800,1800.0,1930.0,900,900,900,900,900,900,900.0,930.0,10,70,127.02296924043912,37.64247282890913,2022-07-20 17:41:59.0,POINT (957915.3344991417 1960439.8227033026)
65,68,C1103420,서울특별시 강북구 도봉로37길 7 1층 (미아동),강북제일약국,02-985-3116,2000,2000,2000,2000,2000,1600,1800.0,1930.0,900,900,900,900,900,900,900.0,930.0,11,75,127.0271043542005,37.62230428423925,2022-07-20 17:41:59.0,POINT (958268.8682082817 1958200.354188225)
66,69,C1108968,서울특별시 강동구 아리수로93나길 26 성산타워 109110호 (강일동),강빛약국,02-6949-5111,2000,2000,2000,2000,2000,1500,1400.0,1400.0,830,830,830,830,830,830,830.0,830.0,52,1,127.173328226781,37.5717706860351,2022-07-20 17:41:59.0,POINT (971153.076449352 1952538.943556742)
67,70,C1109027,서울특별시 강서구 까치산로4길 3 1층 (화곡동),강서메디칼약국,02-2602-4567,2100,2100,2100,2100,2100,2100,1400.0,2100.0,900,900,900,900,900,900,830.0,900.0,77,22,126.844138758277,37.5424936410225,2022-07-20 17:41:59.0,POINT (942060.9150786991 1949442.768658606)
68,71,C1108288,서울특별시 강서구 양천로30길 123-28 1층 (마곡동),강서보건약국,02-2058-7501,2000,2000,2000,2000,2000,1500,1900.0,1700.0,900,900,900,900,900,900,1500.0,1000.0,75,95,126.823834713895,37.5672925088315,2022-07-20 17:41:59.0,POINT (940287.0167307996 1952206.8015072562)
69,72,C1101899,서울특별시 강서구 등촌로 75 지덕빌딩 (등촌동),강서약국,02-2644-2154,2200,2200,2200,2200,2200,2200,1900.0,1600.0,900,900,900,900,900,900,1500.0,900.0,77,34,126.863203039524,37.5367139277952,2022-07-20 17:41:59.0,POINT (943740.7381945801 1948789.9602576138)
70,73,C1104295,서울특별시 강서구 화곡로 346 103호 (화곡동귀뚜라미홈시스텔),강서연세약국,02-2606-1531,1930,1930,1930,1930,1930,1600,1900.0,1600.0,740,740,740,740,740,740,1500.0,900.0,76,53,126.85201111111112,37.55448333333333,2022-07-20 17:41:59.0,POINT (942765.5387952889 1950768.1478245337)
71,74,C1104054,서울특별시 강서구 양천로 401 109-2호 (가양동 강서한강자이타워A동),강서자이온누리약국,02-2638-5233,2000,2000,2000,2000,2000,1600,1900.0,1600.0,800,800,800,800,800,900,1500.0,900.0,75,28,126.8476432977,37.565702492,2022-07-20 17:41:59.0,POINT (942388.3812509023 1952015.5330643367)
72,75,C1101989,서울특별시 강서구 강서로 257  (내발산동),강서종로약국,02-2606-8268,2130,2130,2130,2130,2130,2100,1900.0,2100.0,830,830,830,830,830,830,1500.0,930.0,76,39,126.83603782185304,37.54866066254394,2022-07-20 17:41:59.0,POINT (941350.0982832017 1950131.994389509)
73,77,C1101992,서울특별시 양천구 화곡로 105 (신월동),강약국,02-2698-3027,1800,1800,1800,1800,1800,1300,2230.0,2230.0,900,900,900,900,900,900,1000.0,1000.0,79,3,126.83360383473784,37.540049266802406,2022-07-20 17:41:59.0,POINT (941128.3222097877 1949178.1206877674)
74,78,C1101993,서울특별시 강동구 올림픽로80길 43,강약국,02-477-0940,1930,1930,1930,1930,1930,1600,2230.0,2230.0,900,900,900,900,900,900,1000.0,1000.0,53,24,127.12766085603596,37.54307984328441,2022-07-20 17:41:59.0,POINT (967107.7722303056 1949370.8570549083)
75,79,C1103011,서울특별시 서대문구 세검정로1길 7 (홍은동),강약국,02-396-9677,1900,1900,1900,1900,1900,1400,2230.0,2230.0,900,900,900,900,900,900,1000.0,1000.0,36,15,126.9422850004958,37.59212454353739,2022-07-20 17:41:59.0,POINT (950763.9564242791 1954893.1281725238)
76,80,C1101991,서울특별시 동작구 서달로 158 (흑석동 명수대상가104호),강약국,02-816-8766,2100,2100,2100,2100,2100,1900,2230.0,2230.0,900,900,900,900,900,900,1000.0,1000.0,69,79,126.9622651378914,37.50727658264414,2022-07-20 17:41:59.0,POINT (952474.006197383 1945469.3972765075)
77,81,C1104643,서울특별시 성북구 아리랑로 117-7 (정릉동),강원약국,02-914-8814,2030,2030,2030,2030,2030,2030,2230.0,2230.0,900,900,900,900,900,900,1000.0,1000.0,28,20,127.01300955831915,37.60248852498065,2022-07-20 17:41:59.0,POINT (957013.6470412882 1956008.2395122491)
78,82,C1104257,서울특별시 관악구 대학길 36 (신림동),강원약국,02-874-4575,2130,2130,2130,2130,2130,2130,2230.0,2130.0,900,900,900,900,900,900,1000.0,900.0,88,13,126.93757308577337,37.46912465885686,2022-07-20 17:41:59.0,POINT (950266.3718151423 1941249.4344697678)
79,83,C1109074,서울특별시 강동구 아리수로93나길 54 경서프라자 103호 (강일동),강일수약국,02-428-4070,1800,1800,1800,1800,1800,1800,2230.0,2130.0,900,900,900,900,900,900,1000.0,900.0,52,1,127.174852988118,37.5722001938647,2022-07-20 17:42:00.0,POINT (971287.8865707994 1952586.1280623155)
80,84,C1102833,서울특별시 강동구 아리수로97길 19,강일약국,02-426-8192,1800,1800,1800,1800,1800,1400,2230.0,2130.0,900,900,900,900,900,900,1000.0,900.0,52,10,127.1771641935715,37.5666008887246,2022-07-20 17:42:00.0,POINT (971489.8439766102 1951964.2127626142)
81,85,C1109087,서울특별시 강동구 아리수로93나길 60 골드프라자 109호 (강일동),강일윤약국,02-3427-2081,1900,1900,1900,1900,1900,1300,2230.0,2130.0,830,830,830,830,830,830,1000.0,900.0,54,15,127.175179201458,37.5722862056733,2022-07-20 17:42:00.0,POINT (971316.7259138358 1952595.5709660053)
82,86,C1107699,서울특별시 강남구 역삼로 310 한솔필리아 2층 26호 (역삼동),개나리봄약국,02-501-8284,1900,1900,1900,1900,1900,1400,2230.0,2130.0,900,900,900,900,900,900,1000.0,900.0,62,17,127.0484199573,37.4992357232,2022-07-20 17:42:00.0,POINT (960084.2917327347 1944537.2879805753)
83,87,C1108414,서울특별시 송파구 오금로 396 1층 114호 (가락동 에스케이허브파크),개롱약국,02-407-4609,2000,2000,2000,2000,2000,1600,2230.0,2000.0,900,900,900,900,900,900,1000.0,1200.0,57,69,127.13421559367087,37.49795484707022,2022-07-20 17:42:00.0,POINT (967667.3500360606 1944362.253891211)
84,88,C1101995,서울특별시 성북구 장월로 128 (장위동),개미약국,02-915-7770,1900,1900,1900,1900,1900,1500,2230.0,2000.0,840,840,840,840,840,840,1000.0,1200.0,27,66,127.0496106336177,37.61680454698578,2022-07-20 17:42:00.0,POINT (960252.0394282531 1957580.4126563407)
85,89,C1103013,서울특별시 구로구 고척로 123-1 (개봉동),개봉지예당약국,02-2681-0292,2030,2030,2030,2030,2030,2030,2230.0,2000.0,830,830,830,830,830,830,1000.0,1200.0,82,47,126.8478204819149,37.50222853957776,2022-07-20 17:42:00.0,POINT (942355.192022868 1944973.2971219772)
86,90,C1104117,서울특별시 구로구 경인로 176 308호 (오류동 시티월드),개성약국,02-2615-1862,1800,1800,1800,1800,1800,1300,2230.0,2000.0,900,900,900,900,900,900,1000.0,1200.0,82,71,126.841048713,37.4943597757,2022-07-20 17:42:00.0,POINT (941750.5302847038 1944104.4703013932)
