약국명,도로명주소,자치구,행정동,심야약국,유년부양비,노년부양비,노령화지수,종합병원,병원,의원,치과병원,치과의원,한방병원,한방의원,인구밀도,한국인 0~4세,한국인 5~9세,한국인 10~14세,한국인 15~19세,한국인 20~24세,한국인 25~29세,한국인 30~34세,한국인 35~39세,한국인 40~44세,한국인 45~49세,한국인 50~54세,한국인 55~59세,한국인 60~64세,한국인 65~69세,한국인 70~74세,한국인 75~79세,한국인 80~84세,한국인 85~89세,한국인 90~94세,한국인 95~99세,한국인 100세 이상,외국인 0~4세,외국인 5~9세,외국인 10~14세,외국인 15~19세,외국인 20~24세,외국인 25~29세,외국인 30~34세,외국인 35~39세,외국인 40~44세,외국인 45~49세,외국인 50~54세,외국인 55~59세,외국인 60~64세,외국인 65~69세,외국인 70~74세,외국인 75~79세,외국인 80~84세,외국인 85~89세,외국인 90~94세,외국인 95~99세,외국인 100세 이상
나인약국,서울특별시 서초구 서초대로77길 3 아라타워 124호 (서초동),서초구,서초4동,0,23.5,19.8,84.3,1,13,661,4,311,5,244,36043,11340,18871,22917,21299,23149,27767,28449,29408,36474,37571,36106,26769,25957,21831,15719,11585,7079,3516,1380,383,102,95,166,147,104,241,485,519,491,439,388,315,219,118,59,24,16,8,5,1,2,1.0
튼튼온누리약국,서울특별시 구로구 디지털로32가길 25 티타운빌딩 101-1호 (구로동),구로구,구로3동,0,10.4,18.1,174.2,2,8,266,1,170,2,110,25218,11019,13863,14462,14364,21917,31416,31255,29192,30854,29792,32156,29817,31830,25728,19050,13582,8978,3970,1262,293,50,647,789,437,303,599,997,1916,2438,2141,2066,3311,4426,2350,1004,274,71,44,26,15,5,0.0
금천중앙약국,서울특별시 금천구 시흥대로73길 67 엠메디컬타워 116호 (시흥동),금천구,시흥1동,0,11.1,24.7,221.6,1,6,160,0,106,3,74,20925,5104,6114,6447,7341,13376,23887,20997,16148,15623,15779,19355,19666,20226,14750,10596,7772,5194,2259,728,171,32,408,471,292,148,267,604,1075,1352,1157,1213,2037,2595,1319,474,174,35,23,10,7,4,1.0
상암나무약국,서울특별시 마포구 월드컵북로 381 제상가동 지1층 113-1호 (상암동 상암 월드컵파크 4단지),마포구,상암동,0,20.1,17.8,88.5,0,3,375,3,204,2,151,3809,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
5층 하늘약국,서울특별시 강동구 고덕로 133 강동롯데캐슬퍼스트아파트 5층 513호 (암사동),강동구,암사3동,0,23.8,21.6,90.9,3,14,376,3,224,6,187,7339,14187,19193,19927,18811,25061,34281,34538,35316,39412,35583,37248,34330,37361,29718,19793,13078,8030,3807,1507,371,78,78,96,76,52,204,463,517,486,359,305,397,438,251,84,38,14,3,3,1,0,0.0
휴베이스봄약국,서울특별시 서초구 서초대로73길 9 타임빌딩 1층 (서초동),서초구,서초4동,0,23.5,19.8,84.3,1,13,661,4,311,5,244,36043,11340,18871,22917,21299,23149,27767,28449,29408,36474,37571,36106,26769,25957,21831,15719,11585,7079,3516,1380,383,102,95,166,147,104,241,485,519,491,439,388,315,219,118,59,24,16,8,5,1,2,1.0
비타민약국,서울특별시 강서구 공항대로 417 센트럴시티 102호 (등촌동),강서구,등촌1동,0,8.7,14.8,170.9,4,17,410,3,225,6,189,38028,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
코리아약국,서울특별시 강서구 강서로 323 1층 102호 (내발산동),강서구,발산1동,0,20.8,18.6,89.3,4,17,410,3,225,6,189,12765,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
아이디약국,서울특별시 강남구 도산대로 111 1층 101호 (신사동),강남구,신사동,0,14,26.2,186.9,3,32,1697,14,558,12,363,8949,11905,21633,29913,29358,30912,38691,38412,37970,47589,49668,47849,35015,32680,28646,20939,15041,8971,4239,1760,484,102,56,74,54,114,521,971,863,661,467,331,288,253,127,85,32,21,7,5,2,0,1.0
길동온누리약국,서울특별시 강동구 천호대로 1131 거산 유팰리스 1층 105호 (길동),강동구,길동,0,10.8,23.3,215.8,3,14,376,3,224,6,187,21598,14187,19193,19927,18811,25061,34281,34538,35316,39412,35583,37248,34330,37361,29718,19793,13078,8030,3807,1507,371,78,78,96,76,52,204,463,517,486,359,305,397,438,251,84,38,14,3,3,1,0,0.0
마곡아임약국,서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 102호 (마곡동),강서구,가양1동,0,8.3,10.8,129.9,4,17,410,3,225,6,189,7349,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
봄약국,서울특별시 도봉구 도봉로 684 116호 (방학동),도봉구,방학1동,0,12,28.5,237.4,1,8,162,1,105,2,82,42371,6515,9736,11243,12513,18461,22013,19556,19208,21952,23406,28808,26804,28937,22718,15764,12130,9052,4161,1407,323,84,40,32,24,63,305,326,310,242,184,155,171,144,75,34,13,3,3,1,0,0,0.0
국제약국,서울특별시 강서구 방화동로 40 A동 1층 좌측호 (공항동),강서구,공항동,0,20.2,19,94,4,17,410,3,225,6,189,2542,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
곰약국,서울특별시 중구 마른내로 103(오장동),중구,광희동,0,5.3,22.7,427,2,4,240,6,209,1,96,8670,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
우리동네맘약국,서울특별시 양천구 남부순환로 603 1층 (신월동),양천구,신월6동,0,20.7,18.4,88.9,3,5,286,3,183,3,151,33654,10098,18198,24337,24491,26570,29730,26951,27965,36130,39311,41331,34658,34309,26574,18210,12055,7913,3910,1419,334,54,46,68,64,45,145,298,386,381,313,287,366,429,195,91,47,13,5,6,3,0,2.0
진한약국,서울특별시 강동구 고덕로 133 강동롯데캐슬퍼스트아파트  상가 지하1층 1039호 (암사동),강동구,암사3동,0,23.8,21.6,90.9,3,14,376,3,224,6,187,7339,14187,19193,19927,18811,25061,34281,34538,35316,39412,35583,37248,34330,37361,29718,19793,13078,8030,3807,1507,371,78,78,96,76,52,204,463,517,486,359,305,397,438,251,84,38,14,3,3,1,0,0.0
당산봄약국,서울특별시 영등포구 양평로 20(당산동6가),영등포구,당산2동,0,13.6,16.1,118.5,7,8,354,1,238,2,148,24523,11420,12606,11652,11932,21309,37018,37515,31758,28869,26512,29290,26838,27261,20952,15690,11640,8314,4227,1291,295,48,557,760,467,320,572,1067,1735,2213,1967,2045,3260,4360,2468,976,332,73,56,30,13,13,1.0
동의보감한약국,서울특별시 강남구 헌릉로571길 56-1 101호 (세곡동),강남구,세곡동,0,21.7,21.7,100,3,32,1697,14,558,12,363,6993,11905,21633,29913,29358,30912,38691,38412,37970,47589,49668,47849,35015,32680,28646,20939,15041,8971,4239,1760,484,102,56,74,54,114,521,971,863,661,467,331,288,253,127,85,32,21,7,5,2,0,1.0
일등약국,서울특별시 관악구 관악로 154 1층 (봉천동),관악구,낙성대동,0,6.7,14,208.1,1,11,324,1,200,2,153,7744,8031,10865,12083,14773,38578,71294,51406,34514,33015,31877,35108,31608,33158,26589,21136,16034,10708,4383,1399,313,74,265,296,170,262,1678,2182,1669,1225,896,794,1253,1645,949,394,133,39,18,16,8,3,0.0
강서튼튼약국,서울특별시 강서구 마곡서로 56 마곡에스비타워Ⅲ 1층 103호 (마곡동),강서구,발산1동,0,20.8,18.6,89.3,4,17,410,3,225,6,189,12765,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
서초우리약국,서울특별시 서초구 반포대로27길 13 2층 206호 (서초동 서초꽃마을 주얼리),서초구,서초3동,0,11.8,19.3,163.6,1,13,661,4,311,5,244,11026,11340,18871,22917,21299,23149,27767,28449,29408,36474,37571,36106,26769,25957,21831,15719,11585,7079,3516,1380,383,102,95,166,147,104,241,485,519,491,439,388,315,219,118,59,24,16,8,5,1,2,1.0
아란약국,서울특별시 강서구 마곡중앙1로 10 1층 117호 (마곡동),강서구,발산1동,0,20.8,18.6,89.3,4,17,410,3,225,6,189,12765,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
참바른약국,서울특별시 관악구 신원로 35 삼모 더 프라임 타워 1층 (신림동),관악구,서원동,0,5.2,17.5,335.3,1,11,324,1,200,2,153,36254,8031,10865,12083,14773,38578,71294,51406,34514,33015,31877,35108,31608,33158,26589,21136,16034,10708,4383,1399,313,74,265,296,170,262,1678,2182,1669,1225,896,794,1253,1645,949,394,133,39,18,16,8,3,0.0
홍제 오늘약국,서울특별시 서대문구 통일로 460 2층 (홍제동),서대문구,홍제3동,0,10.7,34.2,319,2,5,211,2,125,1,92,15222,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1.0
신용산수약국,서울특별시 용산구 한강대로 109 용성비즈텔 지하2층 227233호 (한강로2가),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
연세약국,서울특별시 강서구 화곡로 161 대성빌딩 104105호 (화곡동),강서구,화곡3동,0,12.2,26.2,214.5,4,17,410,3,225,6,189,41392,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
차돌약국,서울특별시 송파구 석촌호수로 61 트리지움 147호 (잠실동),송파구,잠실3동,0,21.8,24.6,112.9,2,17,574,4,327,4,252,23823,19774,28039,29574,28582,37440,51984,53515,52862,56504,52053,54849,47846,49082,39201,25872,17325,10400,5351,2071,541,96,114,135,90,69,288,644,754,774,536,426,616,660,342,138,55,16,13,5,1,1,0.0
사랑찬약국,서울특별시 관악구 과천대로 909 남현프라자 지하2층 (남현동),관악구,남현동,0,8.8,19.6,222.6,1,11,324,1,200,2,153,5687,8031,10865,12083,14773,38578,71294,51406,34514,33015,31877,35108,31608,33158,26589,21136,16034,10708,4383,1399,313,74,265,296,170,262,1678,2182,1669,1225,896,794,1253,1645,949,394,133,39,18,16,8,3,0.0
맑은샘약국,서울특별시 송파구 동남로 236 2층 (가락동),송파구,가락2동,0,17.2,17.8,103.5,2,17,574,4,327,4,252,34588,19774,28039,29574,28582,37440,51984,53515,52862,56504,52053,54849,47846,49082,39201,25872,17325,10400,5351,2071,541,96,114,135,90,69,288,644,754,774,536,426,616,660,342,138,55,16,13,5,1,1,0.0
성모자이약국,서울특별시 은평구 통일로 1034 1층 129호 (진관동 은평 스카이뷰 자이),은평구,진관동,0,20.5,21,102.5,2,10,321,1,183,2,150,4966,11291,15666,17568,19441,27633,37030,34032,32689,36272,37287,41596,36275,37982,29514,21877,17236,12423,5668,1718,403,73,85,81,67,108,225,429,526,505,393,268,336,334,200,115,52,27,23,7,3,2,0.0
동아약국,서울특별시 강북구 도봉로 118 1층 (미아동),강북구,송중동,0,11.1,27.8,251.3,1,10,223,1,127,0,98,30628,5398,8069,9560,10855,18135,22433,18722,17713,20601,22467,26777,24606,26141,20960,16330,13117,9290,3930,1235,266,48,77,70,36,72,676,541,453,366,282,207,224,270,178,70,39,17,5,4,3,1,2.0
신사온누리약국,서울특별시 강남구 강남대로 598 보림빌딩 지하1층 (논현동),강남구,논현1동,1,5.6,15.9,285.2,3,32,1697,14,558,12,363,18987,11905,21633,29913,29358,30912,38691,38412,37970,47589,49668,47849,35015,32680,28646,20939,15041,8971,4239,1760,484,102,56,74,54,114,521,971,863,661,467,331,288,253,127,85,32,21,7,5,2,0,1.0
사과약국,서울특별시 강서구 강서로 391 108호 (마곡동 문영비즈웍스),강서구,가양1동,0,8.3,10.8,129.9,4,17,410,3,225,6,189,7349,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
마곡하나약국,서울특별시 강서구 강서로 385 106호 (마곡동 우성에스비타워),강서구,가양1동,0,8.3,10.8,129.9,4,17,410,3,225,6,189,7349,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
명문약국,서울특별시 종로구 통일로 254 1층 지하1층 (무악동),종로구,무악동,0,20.1,24.9,124,4,2,197,1,157,0,126,23867,2609,4094,4819,5357,9759,12915,10397,8966,9977,10563,12929,11816,11492,8913,6304,5333,4268,2122,745,206,40,140,189,194,264,2987,1746,803,696,619,502,477,476,299,133,65,15,14,8,4,0,0.0
서초제일약국,서울특별시 서초구 방배로 111 1층 (방배동 근복빌딩),서초구,방배1동,0,13.7,23.4,171.6,1,13,661,4,311,5,244,24830,11340,18871,22917,21299,23149,27767,28449,29408,36474,37571,36106,26769,25957,21831,15719,11585,7079,3516,1380,383,102,95,166,147,104,241,485,519,491,439,388,315,219,118,59,24,16,8,5,1,2,1.0
라파온누리약국,서울특별시 도봉구 우이천로4길 42 1층 (창동),도봉구,창3동,0,12.1,30,248.5,1,8,162,1,105,2,82,21496,6515,9736,11243,12513,18461,22013,19556,19208,21952,23406,28808,26804,28937,22718,15764,12130,9052,4161,1407,323,84,40,32,24,63,305,326,310,242,184,155,171,144,75,34,13,3,3,1,0,0,0.0
우리온누리약국,서울특별시 강남구 남부순환로397길 57 1층 1호 (대치동 대치메디칼센터),강남구,대치1동,0,26.5,14.8,55.9,3,32,1697,14,558,12,363,31547,11905,21633,29913,29358,30912,38691,38412,37970,47589,49668,47849,35015,32680,28646,20939,15041,8971,4239,1760,484,102,56,74,54,114,521,971,863,661,467,331,288,253,127,85,32,21,7,5,2,0,1.0
메디팜 정다운약국,서울특별시 강서구 마곡중앙5로 87 107호 (마곡동 우성르보아투),강서구,방화1동,0,19.9,21.7,109.2,4,17,410,3,225,6,189,30101,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
조은약국,서울특별시 강서구 마곡중앙로 36 상가 107-1호 (마곡동 마곡엠벨리 15단지),강서구,발산1동,0,20.8,18.6,89.3,4,17,410,3,225,6,189,12765,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
미즈정문약국,서울특별시 강서구 강서로 299 1층 (내발산동),강서구,발산1동,0,20.8,18.6,89.3,4,17,410,3,225,6,189,12765,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
을지수온누리약국,서울특별시 중구 마른내로 12 12층 (저동2가),중구,을지로동,0,3.8,34,890.6,2,4,240,6,209,1,96,3278,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
365종로약국,서울특별시 동대문구 전농로 60-1 1층 (답십리동),동대문구,답십리2동,1,13.1,27.3,208.2,4,13,256,4,149,1,150,34689,8355,10683,10902,12008,26086,30379,24951,23639,24752,23938,27152,24901,26384,21198,15270,12382,8748,4011,1250,273,68,146,157,86,401,5968,4088,1325,762,518,399,501,539,296,129,47,21,13,12,4,1,0.0
아름드리약국,서울특별시 강서구 강서로56길 30 1층 코너호 (등촌동),강서구,등촌3동,0,11.4,31.5,275.1,4,17,410,3,225,6,189,40076,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0.0
아침햇살약국,서울특별시 구로구 시흥대로 563 동연빌딩 1층 (구로동),구로구,구로3동,0,10.4,18.1,174.2,2,8,266,1,170,2,110,25218,11019,13863,14462,14364,21917,31416,31255,29192,30854,29792,32156,29817,31830,25728,19050,13582,8978,3970,1262,293,50,647,789,437,303,599,997,1916,2438,2141,2066,3311,4426,2350,1004,274,71,44,26,15,5,0.0
푸른소나무약국,서울특별시 종로구 삼봉로 81 207호 (수송동 두산위브파빌리온),종로구,종로1.2.3.4가동,0,8,31.9,399.2,4,2,197,1,157,0,126,3595,2609,4094,4819,5357,9759,12915,10397,8966,9977,10563,12929,11816,11492,8913,6304,5333,4268,2122,745,206,40,140,189,194,264,2987,1746,803,696,619,502,477,476,299,133,65,15,14,8,4,0,0.0
봄약국,서울특별시 동대문구 장한로32길 7 장안동의료시설 1층 (장안동),동대문구,장안2동,0,18,22.3,123.6,4,13,256,4,149,1,150,30586,8355,10683,10902,12008,26086,30379,24951,23639,24752,23938,27152,24901,26384,21198,15270,12382,8748,4011,1250,273,68,146,157,86,401,5968,4088,1325,762,518,399,501,539,296,129,47,21,13,12,4,1,0.0
이화약국,서울특별시 영등포구 신길로 28 (신길동),영등포구,신길6동,0,11.8,22.5,191.3,7,8,354,1,238,2,148,29340,11420,12606,11652,11932,21309,37018,37515,31758,28869,26512,29290,26838,27261,20952,15690,11640,8314,4227,1291,295,48,557,760,467,320,572,1067,1735,2213,1967,2045,3260,4360,2468,976,332,73,56,30,13,13,1.0
굿케어약국,서울특별시 강남구 선릉로 719 103호 (논현동),강남구,논현2동,0,9.8,19.1,193.7,3,32,1697,14,558,12,363,14964,11905,21633,29913,29358,30912,38691,38412,37970,47589,49668,47849,35015,32680,28646,20939,15041,8971,4239,1760,484,102,56,74,54,114,521,971,863,661,467,331,288,253,127,85,32,21,7,5,2,0,1.0
청춘약국,서울특별시 은평구 통일로 724 1층 (불광동),은평구,불광1동,0,12.1,27.9,230.2,2,10,321,1,183,2,150,12787,11291,15666,17568,19441,27633,37030,34032,32689,36272,37287,41596,36275,37982,29514,21877,17236,12423,5668,1718,403,73,85,81,67,108,225,429,526,505,393,268,336,334,200,115,52,27,23,7,3,2,0.0
이수다온약국,서울특별시 서초구 서초대로 13 1동 1층 101호 (방배동),서초구,방배4동,0,17.1,20.6,120.4,1,13,661,4,311,5,244,24527,11340,18871,22917,21299,23149,27767,28449,29408,36474,37571,36106,26769,25957,21831,15719,11585,7079,3516,1380,383,102,95,166,147,104,241,485,519,491,439,388,315,219,118,59,24,16,8,5,1,2,1.0
새희망약국,서울특별시 영등포구 영등포로 146-1 1층 2호 (당산동1가),영등포구,당산1동,0,9.4,21.5,228.6,7,8,354,1,238,2,148,28263,11420,12606,11652,11932,21309,37018,37515,31758,28869,26512,29290,26838,27261,20952,15690,11640,8314,4227,1291,295,48,557,760,467,320,572,1067,1735,2213,1967,2045,3260,4360,2468,976,332,73,56,30,13,13,1.0
한티미소약국,서울특별시 강남구 선릉로 314 2층 201-2호 (대치동),강남구,대치4동,0,9.8,12.9,131.7,3,32,1697,14,558,12,363,28416,11905,21633,29913,29358,30912,38691,38412,37970,47589,49668,47849,35015,32680,28646,20939,15041,8971,4239,1760,484,102,56,74,54,114,521,971,863,661,467,331,288,253,127,85,32,21,7,5,2,0,1.0
행운약국,서울특별시 종로구 대명길 21-2(명륜4가),종로구,혜화동,1,7.9,17.9,227.6,4,2,197,1,157,0,126,17620,2609,4094,4819,5357,9759,12915,10397,8966,9977,10563,12929,11816,11492,8913,6304,5333,4268,2122,745,206,40,140,189,194,264,2987,1746,803,696,619,502,477,476,299,133,65,15,14,8,4,0,0.0
백세비타민약국,서울특별시 구로구 디지털로26길 98 101호 (구로동 디지털탑프라자),구로구,구로3동,0,10.4,18.1,174.2,2,8,266,1,170,2,110,25218,11019,13863,14462,14364,21917,31416,31255,29192,30854,29792,32156,29817,31830,25728,19050,13582,8978,3970,1262,293,50,647,789,437,303,599,997,1916,2438,2141,2066,3311,4426,2350,1004,274,71,44,26,15,5,0.0
홍대어울림약국,서울특별시 마포구 어울마당로 128 1층 (서교동),마포구,서교동,0,5.8,15.2,261.8,0,3,375,3,204,2,151,16352,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3.0
바라기한약국,서울특별시 강남구 학동로81길 9 1층 101호 (청담동),강남구,청담동,0,16.2,19.6,120.5,3,32,1697,14,558,12,363,11702,11905,21633,29913,29358,30912,38691,38412,37970,47589,49668,47849,35015,32680,28646,20939,15041,8971,4239,1760,484,102,56,74,54,114,521,971,863,661,467,331,288,253,127,85,32,21,7,5,2,0,1.0
원당프라자약국,서울특별시 관악구 남부순환로248길 15 1층 (봉천동),관악구,인헌동,0,8.1,19.7,241.6,1,11,324,1,200,2,153,24537,8031,10865,12083,14773,38578,71294,51406,34514,33015,31877,35108,31608,33158,26589,21136,16034,10708,4383,1399,313,74,265,296,170,262,1678,2182,1669,1225,896,794,1253,1645,949,394,133,39,18,16,8,3,0.0
이안약국,서울특별시 양천구 국회대로 252 (신정동),양천구,신정4동,0,10,23.6,234.6,3,5,286,3,183,3,151,33852,10098,18198,24337,24491,26570,29730,26951,27965,36130,39311,41331,34658,34309,26574,18210,12055,7913,3910,1419,334,54,46,68,64,45,145,298,386,381,313,287,366,429,195,91,47,13,5,6,3,0,2.0
대교약국,서울특별시 영등포구 여의대방로 383 (여의도동),영등포구,여의동,0,18.6,27.2,146.3,7,8,354,1,238,2,148,4103,11420,12606,11652,11932,21309,37018,37515,31758,28869,26512,29290,26838,27261,20952,15690,11640,8314,4227,1291,295,48,557,760,467,320,572,1067,1735,2213,1967,2045,3260,4360,2468,976,332,73,56,30,13,13,1.0
