NO,병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료
16,이쁨쁨의원,응급의료기관 이외 > 의원,070-4548-0010,"제주특별자치도 제주시 신대로14길 47, 201호 (연동)",-,11:00~21:00,11:00~21:00,11:00~21:00,11:00~21:00,11:00~20:00,-,-
17,일도365의원,응급의료기관 이외 > 의원,647531365,"제주특별자치도 제주시 고마로 115, 3층 (일도이동)",08:30~19:30,08:30~19:30,14:00~19:30,08:30~19:30,08:30~19:30,08:30~19:00,08:30~19:00,08:30~19:00
18,연동365일의원,응급의료기관 이외 > 의원,064-727-3651,"제주특별자치도 제주시 연북로 99, 2층 (연동, 365빌딩)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~24:00,09:00~24:00,09:00~24:00
19,조미진의키크는아이소아청소년과의원,응급의료기관 이외 > 의원,064-748-0275,"제주특별자치도 제주시 월광로 165, 1-2층 (노형동)",-,14:00~21:00,08:30~21:00,08:30~16:00,-,-,-,-
20,율치과의원,응급의료기관 이외 > 치과의원,064-724-1800,"제주특별자치도 제주시 연삼로 510, 2층 (일도이동)",12:00~21:00,09:00~14:00,12:00~21:00,09:00~14:00,12:00~21:00,09:00~14:00,-,-
21,김광정정형외과의원,응급의료기관 이외 > 의원,064-742-7588,"제주특별자치도 제주시 연북로 38, 4층 (노형동, 연동타운)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,08:30~12:30
22,서해산부인과의원,응급의료기관 이외 > 의원,064-758-8866,제주특별자치도 제주시 동광로 131 (일도이동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:30,09:00~12:30,09:00~12:30
23,솜씨좋은치과의원,응급의료기관 이외 > 치과의원,064-805-8275,"제주특별자치도 제주시 건주로 31, 4층 (도련일동)",14:00~21:00,14:00~21:00,14:00~21:00,14:00~21:00,14:00~21:00,-,-,-
24,양준호정형외과의원,응급의료기관 이외 > 의원,064-745-9114,"제주특별자치도 제주시 월랑로 39, 2층 (노형동, 동마빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~13:00,09:00~21:00,09:00~13:00,-,-
25,파랑새의원,응급의료기관 이외 > 의원,064-711-8042,제주특별자치도 제주시 노연로 90 (연동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
26,양병준한의원,응급의료기관 이외 > 한의원,064-745-1175,"제주특별자치도 제주시 조공포길 42, 1층 (외도일동)",08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~18:00,08:00~13:00,-,-
27,서울앤치과의원,응급의료기관 이외 > 치과의원,064-745-2833,제주특별자치도 제주시 연북로 99 (연동),10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,09:00~13:00,-,-
28,튼튼한의원,응급의료기관 이외 > 한의원,064-721-2213,"제주특별자치도 제주시 건주로 33, 3층 (도련일동)",09:00~20:30,09:00~19:00,09:00~20:30,09:00~19:00,09:00~20:30,09:00~14:00,-,-
29,눈사랑안과의원,응급의료기관 이외 > 의원,064-746-0048,"제주특별자치도 제주시 노형8길 2, 4층 (노형동)",08:30~18:00,08:30~18:00,08:30~20:00,08:30~18:00,08:30~12:30,-,08:30~14:00,-
30,신흥당한의원,응급의료기관 이외 > 한의원,064-756-1771,제주특별자치도 제주시 서광로 287 (이도일동),09:00~20:00,09:00~19:00,09:00~20:00,09:00~19:00,09:00~20:00,09:00~13:00,-,-
31,서울차앤김치과의원,응급의료기관 이외 > 치과의원,064-702-2879,"제주특별자치도 제주시 중앙로 380, 3층 (이도이동)",09:00~18:30,09:00~18:30,09:30~20:00,09:30~20:00,09:00~18:30,09:30~13:00,-,-
32,서울호연치과의원,응급의료기관 이외 > 치과의원,064-758-2879,"제주특별자치도 제주시 중앙로 76, 2층 (이도일동)",09:10~18:00,09:10~18:00,09:10~20:30,09:10~12:30,09:10~18:00,09:10~12:30,-,-
33,가지런e치과의원,응급의료기관 이외 > 치과의원,064-749-1133,"제주특별자치도 제주시 도령로 21 (노형동, 동인빌딩)",09:40~19:00,09:40~19:00,13:40~20:00,-,09:40~19:00,08:50~14:00,-,-
34,삼화365플러스의원,응급의료기관 이외 > 의원,064-723-3650,"제주특별자치도 제주시 건주로 43, 2층 (도련일동)",08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,09:00~21:00,09:00~21:00,09:00~21:00
35,하늘체한의원,응급의료기관 이외 > 한의원,064-900-7582,"제주특별자치도 제주시 노형14길 14, 3층 (노형동)",10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:00~15:00,-,-
36,영도한의원,응급의료기관 이외 > 한의원,647845975,제주특별자치도 제주시 조천읍 조천16길 9,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~13:00,-,08:00~12:30
37,서울미소치과의원,응급의료기관 이외 > 치과의원,647229608,"제주특별자치도 제주시 건주로 27, 3층 (도련일동)",10:00~21:00,10:00~19:00,14:00~21:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-
38,바른이치과의원,응급의료기관 이외 > 치과의원,064-746-7570,제주특별자치도 제주시 연북로 14 (노형동),11:00~19:00,11:00~19:00,14:00~21:00,11:00~19:00,-,-,11:00~14:00,-
39,제주늘푸른치과의원,응급의료기관 이외 > 치과의원,064-747-2804,제주특별자치도 제주시 우정로 52 (외도일동),09:30~18:30,09:30~18:30,09:30~20:30,09:30~18:30,09:30~18:30,-,-,-
40,하나치과의원,응급의료기관 이외 > 치과의원,064-725-3001,"제주특별자치도 제주시 신성로 76, 3층 (도남동)",09:00~17:00,09:00~17:00,09:00~20:00,09:00~17:00,09:00~17:00,-,-,-
41,이철승치과의원,응급의료기관 이외 > 치과의원,064-744-2875,"제주특별자치도 제주시 연북로 36, 2층 (노형동)",09:30~18:30,09:30~18:30,09:30~20:00,09:30~12:30,09:30~18:30,09:30~12:30,-,09:30~12:30
42,서울위즈덤성형외과의원,응급의료기관 이외 > 의원,064-745-5488,"제주특별자치도 제주시 노형로 388, 3층 (노형동)",10:00~19:00,10:00~19:00,12:00~21:00,10:00~19:00,10:00~19:00,-,-,-
43,제주현대안과의원,응급의료기관 이외 > 의원,064-702-2075,"제주특별자치도 제주시 건주로 31, 한라신협 삼화지점 3층 (도련일동)",09:00~18:30,09:00~18:30,09:00~20:00,09:00~18:30,09:00~18:30,-,09:00~13:00,-
44,슬림미의원,응급의료기관 이외 > 의원,064-747-3654,제주특별자치도 제주시 연북로 99 (연동),10:00~19:00,10:00~19:00,14:00~21:00,10:00~19:00,10:00~19:00,10:00~15:00,-,-
45,미소의원,응급의료기관 이외 > 의원,064-751-7373,"제주특별자치도 제주시 노연로 29, 2층 (노형동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~13:00,09:00~21:00
46,제주라파의원,응급의료기관 이외 > 의원,064-713-7582,"제주특별자치도 제주시 연북로 34, 2층 (노형동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,09:00~17:00,-,09:00~13:00
47,문앤송소아청소년과의원,응급의료기관 이외 > 의원,064-752-5275,"제주특별자치도 제주시 서광로 220, 3층 (삼도일동, 서광빌딩)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~13:30,09:00~13:30,09:00~13:30
48,연세유엘르의원,응급의료기관 이외 > 의원,064-726-9500,"제주특별자치도 제주시 탑동로 24, 3,4층 (삼도이동)",10:00~19:00,10:00~19:00,14:00~21:00,10:00~19:00,10:00~19:00,10:00~15:00,-,-
49,삼성드림소아청소년과의원,응급의료기관 이외 > 의원,064-702-7582,"제주특별자치도 제주시 동광로 120, 3층층 (일도이동)",09:00~19:30,09:00~19:30,14:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-
50,자윤한의원,응급의료기관 이외 > 한의원,064-713-5300,제주특별자치도 제주시 진군남4길 5 (노형동),10:00~18:00,10:00~18:00,10:00~20:00,-,10:00~20:00,10:00~14:00,-,10:00~14:00
51,경희요한한의원,응급의료기관 이외 > 한의원,064-702-7780,"제주특별자치도 제주시 동화로 3, 3층 (화북일동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~15:00,08:00~15:00,08:00~15:00
52,한라산한의원,응급의료기관 이외 > 한의원,064-755-6988,"제주특별자치도 제주시 중앙로 528, 3층 (아라일동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,-,-
53,효성한의원,응급의료기관 이외 > 한의원,064-758-0090,"제주특별자치도 제주시 중앙로 218 (이도이동, 남광빌딩)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~17:00,10:00~13:00,10:00~13:00
54,동의보감한의원,응급의료기관 이외 > 한의원,064-723-9379,"제주특별자치도 제주시 신성로 76 (도남동,2층)",09:00~20:00,09:00~18:00,09:00~20:00,09:00~18:00,09:00~20:00,09:00~13:00,-,-
55,신제주한의원,응급의료기관 이외 > 한의원,064-746-1050,"제주특별자치도 제주시 삼무로 27, 2층 (연동)",08:30~20:00,08:30~18:00,08:30~20:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
56,덕용한의원,응급의료기관 이외 > 한의원,064-745-5505,제주특별자치도 제주시 우정로 15 (외도일동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,-,-
57,타임소아청소년과의원,응급의료기관 이외 > 의원,064-725-7515,"제주특별자치도 제주시 중앙로 371, 2층 (이도이동)",08:30~18:00,08:30~18:00,08:30~12:30,08:30~18:00,08:30~18:00,08:30~12:30,-,09:00~13:00
58,드림포레산부인과의원,응급의료기관 이외 > 의원,064-759-7838,"제주특별자치도 제주시 서사로 136, 3,4,5층 (삼도일동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:00~13:00,-,-
59,바툼낭의원,응급의료기관 이외 > 의원,064-743-8575,제주특별자치도 제주시 1100로 3213-27 (노형동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,-,-,-
60,사회복지법인춘강부설제주춘강의원,응급의료기관 이외 > 의원,064-745-8801,제주특별자치도 제주시 월구1길 73 (오라삼동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
61,삼성서울정형외과의원,응급의료기관 이외 > 의원,064-713-3522,"제주특별자치도 제주시 노형로 386, 3층 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
62,의료법인녹십자의료재단제주녹십자의원,응급의료기관 이외 > 의원,064-751-0748,"제주특별자치도 제주시 고전길 5, 1층 102호 (이도일동, 극동오벨리스크3차)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
63,이방훈재활의학과의원,응급의료기관 이외 > 의원,064-757-7557,"제주특별자치도 제주시 서광로 157, 2층 (용담일동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
64,제주노형오거리정형외과의원,응급의료기관 이외 > 의원,064-749-9115,"제주특별자치도 제주시 1100로 3347, 5,6층 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
65,제주한라병원,권역응급의료센터 > 종합병원,064-740-5000,"제주특별자치도 제주시 도령로 65- (연동, (연동))",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-
66,진성한의원,응급의료기관 이외 > 한의원,647112898,"제주특별자치도 제주시 월랑로 40, 2층 (노형동)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:00,-,-
67,함덕튼튼의원,응급의료기관 이외 > 의원,064-725-8008,"제주특별자치도 제주시 조천읍 신북로 523, 3층",08:30~18:00,08:30~18:00,08:30~12:30,08:30~18:00,08:30~12:30,08:30~12:30,-,-
68,삼성산부인과의원,응급의료기관 이외 > 의원,064-721-0555,제주특별자치도 제주시 동광로 27 (이도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,09:00~12:30
69,추자한의원,응급의료기관 이외 > 한의원,064-742-7555,제주특별자치도 제주시 추자면 추자로 60,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-
70,김기수수안과의원,응급의료기관 이외 > 의원,064-723-1516,"제주특별자치도 제주시 중앙로 286, 3층 (이도이동, 김기수안과빌딩)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,-,-
71,로즈앤의원,응급의료기관 이외 > 의원,064-803-3723,"제주특별자치도 제주시 1100로 3333, 4층 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,-,-
72,아이엠플란트치과의원,응급의료기관 이외 > 치과의원,064-747-2800,"제주특별자치도 제주시 월랑로 5, 3~5층 (노형동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-
73,연세차내과의원,응급의료기관 이외 > 의원,064-747-2375,"제주특별자치도 제주시 우평로 338, 4,5층 (외도일동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
74,제일플란트치과의원,응급의료기관 이외 > 치과의원,064-755-2828,"제주특별자치도 제주시 중앙로 302, 더스프링 4~5층 (이도이동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-
75,나우메디의원,응급의료기관 이외 > 의원,064-727-1339,"제주특별자치도 제주시 연북로 511, 에이플렉스 3층 (아라일동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
76,베드로정형외과의원,응급의료기관 이외 > 의원,064-723-7566,"제주특별자치도 제주시 일주동로 180, 2층 (화북일동, 인성빌딩)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-
77,의료법인 연강의료재단 연강의원,응급의료기관 이외 > 의원,064-759-9641,제주특별자치도 제주시 서광로 175 (용담일동),09:00~19:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00
78,한수풀의원,응급의료기관 이외 > 의원,064-796-3789,제주특별자치도 제주시 한림읍 한림로 681,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~13:00,-,-
79,동제한의원,응급의료기관 이외 > 한의원,064-748-7001,제주특별자치도 제주시 남녕로 43-1 (노형동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~20:30,09:00~18:30,-,-,-
80,동양한의원,응급의료기관 이외 > 한의원,064-725-1230,"제주특별자치도 제주시 고마로 70 (일도이동,2층)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
81,외도굿모닝이비인후과의원,응급의료기관 이외 > 의원,064-747-7553,"제주특별자치도 제주시 우평로 338, 3층 (외도일동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-
82,한림본치과의원,응급의료기관 이외 > 치과의원,064-796-7528,"제주특별자치도 제주시 한림읍 한림중앙로 29, 4층",09:00~17:30,09:00~20:00,09:00~12:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-
83,한수풀치과의원,응급의료기관 이외 > 치과의원,064-796-2845,"제주특별자치도 제주시 한림읍 명랑로 4, 2층",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
84,한국건강관리협회건강증진의원,응급의료기관 이외 > 의원,064-740-0200,제주특별자치도 제주시 연북로 111 (연동),07:30~16:30,07:30~16:30,07:30~16:30,07:30~16:30,07:30~16:30,07:30~12:30,-,-
85,이창현정형외과의원,응급의료기관 이외 > 의원,064-742-0099,"제주특별자치도 제주시 연북로 50, 2층 (노형동, 덕성빌딩)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,-,-,-
86,제주탑플란트치과의원,응급의료기관 이외 > 치과의원,064-759-2882,"제주특별자치도 제주시 중앙로 545, 5층 (아라일동)",09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
87,국가대표정형외과의원,응급의료기관 이외 > 의원,064-745-5566,"제주특별자치도 제주시 1100로 3321, 지1층, 1층 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
88,강골정형외과의원,응급의료기관 이외 > 의원,064-755-7300,"제주특별자치도 제주시 서광로 272, 3,4층 (도남동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,09:00~12:30,-,-
89,다임한의원,응급의료기관 이외 > 한의원,064-722-1076,제주특별자치도 제주시 서광로 244 (삼도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
90,채움치과의원,응급의료기관 이외 > 치과의원,064-757-2879,"제주특별자치도 제주시 중앙로 354, 4층 (이도이동, 은빌딩)",09:30~18:30,09:30~20:30,09:30~18:30,09:30~18:30,08:30~20:30,-,-,-
91,바른몸한의원,응급의료기관 이외 > 한의원,064-724-9997,"제주특별자치도 제주시 일주동로 332-1, 2층 (삼양이동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
92,예나산부인과의원,응급의료기관 이외 > 의원,064-748-0088,제주특별자치도 제주시 서광로 83 (용담이동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,09:00~12:30
93,인구보건복지협회 제주지회가족보건의원,응급의료기관 이외 > 의원,064-742-0456,제주특별자치도 제주시 신대로13길 21 (연동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~13:00,-,-
94,삼화수한의원,응급의료기관 이외 > 한의원,064-725-9125,"제주특별자치도 제주시 건주로 27, 2층 (도련일동)",09:00~20:00,09:00~18:30,09:00~18:30,09:00~20:00,09:00~18:30,09:30~13:00,-,-
95,의료법인 연강의료재단 연강병원,응급의료기관 이외 > 요양병원,064-726-7900,제주특별자치도 제주시 죽성서길 6 (오등동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
96,윤진호정형외과의원,응급의료기관 이외 > 의원,064-727-8275,제주특별자치도 제주시 동광로 90 (이도이동),08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-
97,이민정산부인과의원,응급의료기관 이외 > 의원,064-712-7500,"제주특별자치도 제주시 노형로 407 (노형동,노형타워 303호)",08:30~17:00,08:30~17:00,08:30~12:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-
98,제주하늘의료소비자생활협동조합제주하늘요양병원,응급의료기관 이외 > 요양병원,064-723-0955,"제주특별자치도 제주시 서사로 40, 3,5층 (삼도일동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-
99,강정형외과의원,응급의료기관 이외 > 의원,064-753-8711,"제주특별자치도 제주시 서광로 262, 1~2층 (삼도일동)",09:00~18:00,09:00~18:00,09:00~12:30,09:00~18:00,09:00~18:00,09:00~12:30,-,-
100,제주수흉부외과의원,응급의료기관 이외 > 의원,064-747-2185,"제주특별자치도 제주시 노형로 407, 노형타워 307호 (노형동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-
101,매일미소치과의원,응급의료기관 이외 > 치과의원,064-796-3412,"제주특별자치도 제주시 한림읍 한림로 638, 2층",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
102,의료법인중앙의료재단중앙병원,지역응급의료센터 > 종합병원,064-786-7000,제주특별자치도 제주시 월랑로 91 (이호이동),09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-
103,예감당한의원,응급의료기관 이외 > 한의원,064-749-0432,"제주특별자치도 제주시 애월읍 하귀로 134, 1층",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
104,강남성모안과의원,응급의료기관 이외 > 의원,064-745-7100,"제주특별자치도 제주시 수덕1길 3 (노형동,4,5층)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:30,-,09:00~12:00
105,서울준마취통증의학과의원,응급의료기관 이외 > 의원,064-723-7511,"제주특별자치도 제주시 관덕로 67, 2층 (일도일동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-
106,한솔한의원,응급의료기관 이외 > 한의원,064-748-7510,제주특별자치도 제주시 연북로 36 (노형동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,09:00~18:30,09:00~13:00,-,-
107,다나은한의원,응급의료기관 이외 > 한의원,064-712-1175,"제주특별자치도 제주시 용담로 86, 2층 (용담이동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
108,더고운의원,응급의료기관 이외 > 의원,064-727-9919,제주특별자치도 제주시 중앙로 371 (이도이동),09:30~18:30,09:30~20:30,09:30~18:30,09:30~18:30,09:30~20:30,09:30~15:30,-,-
109,원광려한의원,응급의료기관 이외 > 한의원,064-744-1075,"제주특별자치도 제주시 1100로 3334, 2층 (노형동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~13:00,-,-
110,고운이치과교정과치과의원,응급의료기관 이외 > 치과의원,064-755-2080,"제주특별자치도 제주시 연삼로 354, 4층 (도남동)",10:00~18:00,10:00~18:00,10:00~18:00,14:00~20:00,10:00~18:00,09:00~15:00,-,-
111,강주현피부과의원,응급의료기관 이외 > 의원,064-805-0079,"제주특별자치도 제주시 건주로 27, 3층 (도련일동)",09:30~17:30,09:30~17:30,09:30~17:30,-,09:30~17:30,09:30~16:30,-,-
112,스탠다드치과의원,응급의료기관 이외 > 치과의원,064-757-2800,"제주특별자치도 제주시 연삼로 548, 2층 (일도이동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~20:00,09:00~18:30,09:00~13:30,-,-
113,노형백세치과의원,응급의료기관 이외 > 치과의원,064-745-2804,"제주특별자치도 제주시 도령로 20, 2층 (노형동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-
114,유진마취통증의학과의원,응급의료기관 이외 > 의원,064-755-6531,"제주특별자치도 제주시 중앙로 286, 4층 (이도이동, 김기수안과빌딩)",09:00~18:30,09:00~20:30,09:00~14:00,09:00~20:30,09:00~18:30,-,-,-
115,제주삼성안과의원,응급의료기관 이외 > 의원,064-724-0220,제주특별자치도 제주시 관덕로 66 (일도일동),08:30~17:30,-,08:30~17:30,-,08:30~17:30,10:00~13:00,-,-
116,예쁨주의쁨의원,응급의료기관 이외 > 의원,064-900-2600,"제주특별자치도 제주시 노형8길 3, 4~7층 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~17:00,-,-
117,서울아산신경외과의원,응급의료기관 이외 > 의원,064-755-3595,"제주특별자치도 제주시 서광로 301, 2층 (이도일동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
118,누가한의원,응급의료기관 이외 > 한의원,064-723-6627,"제주특별자치도 제주시 동광로 102, 2층 201호 (일도이동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,08:30~13:00
