"약국ID","주소","약국명","대표전화1","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업일시"
"C1107162","서울특별시 강남구 남부순환로 2615 (도곡동) 극동스타클래스208호","강남굿모닝약국","02-529-4155","2000","2000","2000","2000","2000","2000","1700","1700","0940","0940","0940","0940","0940","0940","0900","0900","062","67","127.03586946854884","37.4851916952661","2022-07-20 17:41:59.0"
"C1108644","서울특별시 강남구 헌릉로 569 1층 105호 (세곡동)","강남리더스약국","02-3414-8001","1930","2000","1930","1930","2000","1600","1700","1700","0900","0900","0900","0900","0900","0900","0900","0900","063","76","127.101226214382","37.4657580150675","2022-07-20 17:41:59.0"
"C1103021","서울특별시 강남구 삼성로 233  (대치동)","강남메디칼약국","02-568-6644","1900","1900","1900","1900","1900","1800","1700","1700","0900","0900","0900","0900","0900","0900","0900","0900","062","79","127.0608994403609","37.49805503690625","2022-07-20 17:41:59.0"
"C1107642","서울특별시 서초구 방배로 174 1층 (방배동 태창빌딩)","강남메디칼약국","02-594-0801","2000","2000","2000","2000","2000","1600","1700","1700","0830","0830","0830","0830","0830","0830","0900","0900","065","86","126.9930618216","37.4891829962","2022-07-20 17:41:59.0"
"C1107703","서울특별시 강남구 논현로86길 22 1층 (역삼동)","강남미소약국","02-555-5640","2100","2100","2100","2100","2100","1400","1700","1700","0900","0900","0900","0900","0900","0900","0900","0900","062","23","127.0393552042","37.5000319762","2022-07-20 17:41:59.0"
"C1108405","서울특별시 강남구 강남대로 376 1층 1호 (역삼동)","강남미약국","02-501-2105","2100","2100","2100","2100","2100","2000","1900","1800","0830","0830","0830","0830","0830","0800","0900","0900","062","32","127.02877320469665","37.496564351083066","2022-07-20 17:41:59.0"
"C1101932","서울특별시 강남구 도곡로 448  (대치동)","강남백세약국","02-566-3138","1930","1930","1930","1930","1930","1930","1900","1900","0800","0800","0800","0800","0800","0800","1100","1100","062","79","127.0595469672","37.4981097868","2022-07-20 17:41:59.0"
"C1104900","서울특별시 강남구 도곡로 516  (대치동)","강남보선약국","02-568-2310","2200","2200","2200","2200","2200","2200","1900","1900","1000","1000","1000","1000","1000","1000","1100","1100","062","82","127.0629902287","37.4991820003","2022-07-20 17:41:59.0"
"C1107954","서울특별시 강남구 역삼로 118 1층 (역삼동)","강남봄약국","02-557-9480","1900","1900","1900","1900","1900","2200","1900","1900","0900","0900","0900","0900","0900","1000","1100","1100","062","51","127.032179999229","37.4934315723756","2022-07-20 17:41:59.0"
"C1103022","서울특별시 서초구 효령로 12 1층 (방배동)","강남사랑약국","02-523-9775","1830","1830","1830","1830","1830","1400","1900","1900","0830","0830","0830","0830","0830","0830","1100","1100","066","98","126.98672739170458","37.476871063680115","2022-07-20 17:41:59.0"
"C1101933","서울특별시 강남구 도곡로 523 1층 (대치동)","강남새천년온누리약국","02-552-3524","2230","2230","2230","2230","2230","2230","2230","2230","1000","1000","1000","1000","1000","1000","1300","1300","061","90","127.0636695022","37.500057414100006","2022-07-20 17:41:59.0"
"C1107514","서울특별시 강남구 언주로 309 1층 (역삼동)","강남샘약국","02-508-2333","1830","1830","1830","1830","1830","1400","2230","2230","0930","0930","0930","0930","0930","0930","1300","1300","062","29","127.045734972","37.4950921633","2022-07-20 17:41:59.0"
"C1103826","서울특별시 강남구 논현로 52 남현빌딩 1층 (개포동)","강남세계로약국","02-572-2720","2130","2130","2130","2130","2130","2130","2000","1900","0900","0900","0900","0900","0900","0900","1030","1030","063","12","127.04758143371767","37.475211586629825","2022-07-20 17:41:59.0"
"C1107656","서울특별시 강남구 강남대로 416 1층 (역삼동 창림빌딩)","강남씨티약국","02-553-1608","2130","2130","2130","2130","2130","2130","2030","2030","0830","0830","0830","0830","0830","0830","1000","1000","061","29","127.0271595299","37.499797544","2022-07-20 17:41:59.0"
"C1104119","서울특별시 서초구 강남대로 463 102호 (서초동리젠타워)","강남약국","070-7755-2030","2100","2100","2100","2100","2100","1900","2030","2030","0900","0900","0900","0900","0900","0900","1000","1000","066","11","127.02445563147955","37.50347063453143","2022-07-20 17:41:59.0"
"C1101935","서울특별시 강동구 양재대로 1355","강남약국","02-486-7823","2100","2100","2100","2100","2100","1900","1500","2030","0900","0900","0900","0900","0900","0900","0900","1000","054","04","127.13574399002971","37.52761349958293","2022-07-20 17:41:59.0"
"C1107458","서울특별시 금천구 남부순환로 1372 (독산동 현경빌딩)","강남약국","02-851-1630","1800","1800","1800","1800","1800","1900","1500","2030","0900","0900","0900","0900","0900","0900","0900","1000","085","37","126.90347505081421","37.47945973311692","2022-07-20 17:41:59.0"
"C1109069","서울특별시 서초구 서초대로77길 9 강남 누드죤빌딩 104호 (서초동)","강남엘약국","02-533-7737","2000","2000","2000","2000","2100","1800","1500","2030","1000","1000","1000","1000","1000","0930","0900","1000","066","15","127.026213341634","37.49858941826","2022-07-20 17:41:59.0"
"C1108170","서울특별시 강남구 테헤란로4길 6 지하1층 b106호 (역삼동)","강남역스타약국","02-6326-8908","2100","2100","2030","2100","2100","1700","1500","2030","0900","0900","0900","0900","0900","0900","0900","1000","062","32","127.0292847769","37.4976670574","2022-07-20 17:41:59.0"
"C1108450","서울특별시 강남구 선릉로 406 102호 (대치동)","강남온누리약국","02-566-6480","2100","2100","2100","2100","2100","1900","2200","2200","0800","0800","0800","0800","0800","0900","0800","0800","061","98","127.05083230469889","37.501155654580785","2022-07-20 17:41:59.0"
"C1104835","서울특별시 강남구 테헤란로 403","강남우리약국","02-565-7940","1930","1930","1930","1930","1930","1630","2200","2200","0830","0830","0830","0830","0830","0830","0800","0800","061","62","127.0495513661269","37.505068599912555","2022-07-20 17:41:59.0"
"C1103947","서울특별시 강남구 강남대로 432 점프밀라노 지하1층 101호 (역삼동)","강남웰약국","02-6440-5656","2230","2230","2230","2230","2230","2230","2030","2100","0900","0900","0900","0900","0900","0900","1000","1000","061","29","127.0266307826","37.50123567","2022-07-20 17:41:59.0"
"C1108262","서울특별시 강남구 언주로 639 1층 (논현동)","강남정성약국","02-3446-9720","2000","2000","2000","2000","2000","1500","2030","2100","0900","0900","0900","0900","0900","0900","1000","1000","061","05","127.034960089098","37.51361691059559","2022-07-20 17:41:59.0"
"C1101938","서울특별시 강남구 테헤란로 139","강남제일약국","02-555-7790","2000","2000","2000","2000","2000","1630","2030","2100","1000","1000","1000","1000","1000","1000","1000","1000","061","32","127.03438986520099","37.50035616396546","2022-07-20 17:41:59.0"
"C1103935","서울특별시 강남구 남부순환로 2633","강남조은약국","02-571-9515","1800","1800","1800","1800","1800","1400","2030","2100","0830","0830","0830","0830","0830","0830","1000","1000","062","68","127.03778434301532","37.4853697398066","2022-07-20 17:41:59.0"
"C1109110","서울특별시 강남구 강남대로94길 27 1층 105호 (역삼동)","강남차차약국","02-6465-4152","2100","2100","2100","2100","2100","2000","2030","2100","0830","0830","0830","0830","0830","1500","1000","1000","061","30","127.029506833445","37.499852933462","2022-07-20 17:41:59.0"
"C1101939","서울특별시 강남구 도산대로 104 (논현동 1st Avenue)","강남퍼스트약국","02-515-7292","2100","2100","2100","2100","2100","1800","2030","2100","1000","1000","1000","1000","1000","1000","1000","1000","060","38","127.0203424","37.5160782711","2022-07-20 17:41:59.0"
"C1103508","서울특별시 강남구 학동로 323 (논현동 한미빌딩)","강남프라자약국","02-514-4222","2100","2100","2100","2100","2100","2100","2000","2100","0900","0900","0900","0900","0900","0900","1000","0900","060","60","127.0383413338","37.5165747578","2022-07-20 17:41:59.0"
"C1103023","서울특별시 강남구 학동로 342","강남허브약국","02-3014-9272","2030","2030","2030","2030","2030","1800","2000","2100","0830","0830","0830","0830","0830","0830","1000","0900","060","99","127.0410391332477","37.51679913320769","2022-07-20 17:41:59.0"
"C1108720","서울특별시 강동구 양재대로 1465 마루홈타운 107호 (길동)","강동더본약국","02-477-8280","2030","2030","2030","2030","2030","1930","2000","2100","0830","0830","0830","0830","0830","0830","1000","0900","053","53","127.139314330701","37.5368399179472","2022-07-20 17:41:59.0"
"C1101883","서울특별시 강동구 올림픽로 686","강동메디칼약국","02-483-0108","2100","2100","2100","2100","2100","1300","2000","2100","0830","0830","0830","0830","0830","0900","1000","0900","053","27","127.12502568579208","37.5425023899493","2022-07-20 17:41:59.0"
"C1101884","서울특별시 강동구 올림픽로 782","강동미래약국","02-442-6263","1930","1930","1930","1930","1930","1700","2000","2100","0900","0900","0900","0900","0900","0900","1000","0900","052","64","127.12811317648689","37.5509360017334","2022-07-20 17:41:59.0"
"C1109427","서울특별시 영등포구 영중로 125 롯데마트 1층 (영등포동8가)","365마트약국","02-2633-4865","2200","2200","2200","2200","2200","2200","2200","2200","1000","1000","1000","1000","1000","1000","1000","1000","072","28","126.904683469106","37.5278167645388","2022-07-20 17:41:59.0"
"C1101885","서울특별시 강동구 성내로 40  (성내동)","강동보건약국","02-488-4100","1900","1900","1900","1900","1900","1500","2000","2100","0900","0900","0900","0900","0900","0900","1000","0900","053","99","127.12461846664074","37.528814931263405","2022-07-20 17:41:59.0"
"C1108330","서울특별시 강동구 동남로73길 13 1층 (명일동)","강동새경희약국","02-3428-0100","1900","1900","1900","1900","1900","1600","2000","2100","0900","0900","0900","0900","0900","0900","1000","0900","052","69","127.15546283745088","37.55274211724534","2022-07-20 17:41:59.0"
"C1109073","서울특별시 강동구 진황도로 81 강동투웨니퍼스트 1층 101호 (길동)","강동성실약국","02-478-7001","2300","2300","2300","2300","2300","2200","2200","2200","0900","0900","0900","0900","0900","0900","1400","1400","053","54","127.135707130269","37.5367040128134","2022-07-20 17:41:59.0"
"C1107806","서울특별시 강남구 강남대로 292 3층 (도곡동 뱅뱅빌딩)","강남맑은약국","02-573-8798","1830","1830","1830","1800","1830","1400","1700","1700","0900","0900","0900","0900","0900","0900","0900","0900","062","58","127.0321988392","37.4893770339","2022-03-20 17:41:52.0"
"C1107888","서울특별시 강동구 천호대로 1111 1층 (길동 정우빌딩)","강동소망약국","02-487-6464","1900","1900","1900","1900","1900","1500","2200","2200","0830","0830","0830","0830","0830","0830","1400","1400","053","55","127.1351063207","37.5353814932","2022-07-20 17:41:59.0"
"C1108640","서울특별시 강동구 양재대로 1473 희헌타워 1층 (길동)","강동솔약국","02-474-2696","2100","2100","2100","2100","2100","2100","2200","2200","0900","0900","0900","0900","0900","0900","1400","1400","053","53","127.139588829365","37.5375121901099","2022-07-20 17:41:59.0"
"C1108694","서울특별시 강동구 천호대로 1195 지앤지타워 1층 101호 (길동)","강동엠약국","02-472-3311","1900","1900","1900","1900","1900","1300","2200","2200","0900","0900","0900","0900","0900","0900","1400","1400","053","50","127.143907731631","37.5350394377715","2022-07-20 17:41:59.0"
"C1109272","서울특별시 강동구 양재대로 1570 미래빌딩 1층 (명일동)","강동온누리약국","02-2135-7572","2100","2100","2100","2100","2100","1800","1700","2200","0900","0900","0900","0900","0900","0900","1000","1400","052","96","127.143242072187","37.5456635684848","2022-07-20 17:41:59.0"
"C1101886","서울특별시 강동구 천호대로173길 12","강동우리약국","02-479-1150","1830","1900","1830","1830","1830","1330","1700","2200","0830","0830","0830","0830","0830","0830","1000","1400","053","55","127.13554110134103","37.53561815539854","2022-07-20 17:41:59.0"
"C1109380","서울특별시 강동구 동남로 891 103호 (명일동)","강동원약국","02-6081-0101","1800","1800","1800","1800","1800","1300","1700","2200","0900","0900","0900","0900","0900","0900","1000","1400","052","69","127.155947723578","37.5533185664951","2022-07-20 17:41:59.0"
"C1108786","서울특별시 강동구 천호대로 1124 1층 (성내동)","강동웰빙약국","02-473-4959","2000","2000","2000","2000","2000","1530","1700","2200","0900","0900","0900","0900","0900","0830","1000","1400","053","73","127.136192062668","37.5343360769717","2022-07-20 17:41:59.0"
"C1103357","서울특별시 강동구 양재대로 1343 (성내동)","강동태평양약국","02-473-3377","2240","2240","2240","2240","2240","2240","2200","2200","0900","0900","0900","0900","0900","0900","0900","0900","054","05","127.13527563557126","37.52634903516902","2022-07-20 17:41:59.0"
"C1107508","서울특별시 강동구 진황도로 74 (천호동)","강동포도약국","02-423-3005","2000","2000","2000","2000","2000","1500","2200","2200","0830","0830","0830","0830","0830","0900","0900","0900","053","39","127.13477850597932","37.53680544768918","2022-07-20 17:41:59.0"
"C1103014","서울특별시 강동구 올림픽로 624","강동프라자약국","02-470-0203","1930","1930","1930","1930","1930","1430","2200","2200","0840","0840","0840","0840","0840","0840","0900","0900","053","78","127.12326975506056","37.53705861609","2022-07-20 17:41:59.0"
"C1102804","서울특별시 강동구 올림픽로 778","강동한우리약국","02-481-3237","2200","2200","2200","2200","2200","2130","2100","1930","0900","0900","0900","0900","0900","0900","1000","0930","052","64","127.12794479697115","37.550406399685095","2022-07-20 17:41:59.0"
"C1102825","서울특별시 강동구 양재대로 1589","강동해오름약국","02-474-4666","1930","1930","1930","1930","1930","1700","2100","1930","0900","0900","0900","0900","0900","0900","1000","0930","053","07","127.14300831220342","37.54749532939716","2022-07-20 17:41:59.0"
"C1104363","서울특별시 동작구 시흥대로 668-2 (신대방동)","강림약국","02-832-8975","2130","2130","2130","2130","2130","2130","2100","1930","0900","0900","0900","0900","0900","0900","1000","0930","070","68","126.90856211712635","37.49106155539128","2022-07-20 17:41:59.0"
"C1101896","서울특별시 광진구 광나루로56길 63 (구의동) 프라임프라자상가 1층","강변그랜드약국","02-447-4842","2100","2100","2100","2100","2100","1800","1800","1930","0830","0830","0830","0830","0830","0830","0900","0930","051","19","127.09615979283742","37.536789148484836","2022-07-20 17:41:59.0"
"C1108680","서울특별시 강북구 도봉로49길 8 1층 (미아동)","강북김약국","02-980-1717","2000","2000","2000","2000","2000","1500","1800","1930","0900","0900","0900","0900","0900","0900","0900","0930","011","70","127.0259544037","37.62527554794","2022-07-20 17:41:59.0"
"C1103266","서울특별시 강북구 도봉로 79 (미아동)","강북다모아약국","02-945-2088","1900","1900","1900","1900","1900","1600","1800","1930","0900","0900","0900","0900","0900","0900","0900","0930","012","05","127.0295432799152","37.61631841523258","2022-07-20 17:41:59.0"
"C1101898","서울특별시 강북구 도봉로 190 (미아동)","강북메디칼약국","02-981-9512","1930","1930","1930","1930","1930","1630","1800","1930","0900","0900","0900","0900","0900","0900","0900","0930","011","57","127.02677378590168","37.62585141129103","2022-07-20 17:41:59.0"
"C1104652","서울특별시 동대문구 전농로 110 1층 (답십리동)","강북열린약국","02-2248-5023","2000","2000","2000","2000","2000","1530","1800","1930","0830","0830","0830","0830","0830","0830","0900","0930","025","38","127.05772385945153","37.574614418990784","2022-07-20 17:41:59.0"
"C1108406","서울특별시 강북구 한천로 1081 1층 (수유동)","강북우리약국","02-900-8345","2100","2100","2100","2100","2100","1800","1800","1930","0900","0900","0900","0900","0900","0900","0900","0930","010","70","127.02296924043911","37.64247282890913","2022-07-20 17:41:59.0"
"C1103420","서울특별시 강북구 도봉로37길 7 1층 (미아동)","강북제일약국","02-985-3116","2000","2000","2000","2000","2000","1600","1800","1930","0900","0900","0900","0900","0900","0900","0900","0930","011","75","127.0271043542005","37.62230428423925","2022-07-20 17:41:59.0"
"C1108968","서울특별시 강동구 아리수로93나길 26 성산타워 109110호 (강일동)","강빛약국","02-6949-5111","2000","2000","2000","2000","2000","1500","1400","1400","0830","0830","0830","0830","0830","0830","0830","0830","052","01","127.173328226781","37.5717706860351","2022-07-20 17:41:59.0"
"C1109027","서울특별시 강서구 까치산로4길 3 1층 (화곡동)","강서메디칼약국","02-2602-4567","2100","2100","2100","2100","2100","2100","1400","2100","0900","0900","0900","0900","0900","0900","0830","0900","077","22","126.844138758277","37.5424936410225","2022-07-20 17:41:59.0"
"C1108288","서울특별시 강서구 양천로30길 123-28 1층 (마곡동)","강서보건약국","02-2058-7501","2000","2000","2000","2000","2000","1500","1900","1700","0900","0900","0900","0900","0900","0900","1500","1000","075","95","126.823834713895","37.5672925088315","2022-07-20 17:41:59.0"
"C1101899","서울특별시 강서구 등촌로 75 지덕빌딩 (등촌동)","강서약국","02-2644-2154","2200","2200","2200","2200","2200","2200","1900","1600","0900","0900","0900","0900","0900","0900","1500","0900","077","34","126.863203039524","37.5367139277952","2022-07-20 17:41:59.0"
"C1104295","서울특별시 강서구 화곡로 346 103호 (화곡동귀뚜라미홈시스텔)","강서연세약국","02-2606-1531","1930","1930","1930","1930","1930","1600","1900","1600","0740","0740","0740","0740","0740","0740","1500","0900","076","53","126.852011111111111","37.554483333333330","2022-07-20 17:41:59.0"
"C1104054","서울특별시 강서구 양천로 401 109-2호 (가양동 강서한강자이타워A동)","강서자이온누리약국","02-2638-5233","2000","2000","2000","2000","2000","1600","1900","1600","0800","0800","0800","0800","0800","0900","1500","0900","075","28","126.8476432977","37.565702492","2022-07-20 17:41:59.0"
"C1101989","서울특별시 강서구 강서로 257  (내발산동)","강서종로약국","02-2606-8268","2130","2130","2130","2130","2130","2100","1900","2100","0830","0830","0830","0830","0830","0830","1500","0930","076","39","126.83603782185304","37.54866066254394","2022-07-20 17:41:59.0"
"C1101990","서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥 1층 (등촌동)","강서홈약국","02-2659-1823","2230","2230","2230","2230","2230","2100","2230","2230","1000","1000","1000","1000","1000","0830","1000","1000","075","67","126.85482446383513","37.55847113322664","2022-07-20 17:41:59.0"
"C1101992","서울특별시 양천구 화곡로 105 (신월동)","강약국","02-2698-3027","1800","1800","1800","1800","1800","1300","2230","2230","0900","0900","0900","0900","0900","0900","1000","1000","079","03","126.83360383473783","37.540049266802406","2022-07-20 17:41:59.0"
"C1101993","서울특별시 강동구 올림픽로80길 43","강약국","02-477-0940","1930","1930","1930","1930","1930","1600","2230","2230","0900","0900","0900","0900","0900","0900","1000","1000","053","24","127.12766085603597","37.54307984328441","2022-07-20 17:41:59.0"
"C1103011","서울특별시 서대문구 세검정로1길 7 (홍은동)","강약국","02-396-9677","1900","1900","1900","1900","1900","1400","2230","2230","0900","0900","0900","0900","0900","0900","1000","1000","036","15","126.94228500049579","37.59212454353739","2022-07-20 17:41:59.0"
"C1101991","서울특별시 동작구 서달로 158 (흑석동 명수대상가104호)","강약국","02-816-8766","2100","2100","2100","2100","2100","1900","2230","2230","0900","0900","0900","0900","0900","0900","1000","1000","069","79","126.9622651378914","37.50727658264414","2022-07-20 17:41:59.0"
"C1104643","서울특별시 성북구 아리랑로 117-7 (정릉동)","강원약국","02-914-8814","2030","2030","2030","2030","2030","2030","2230","2230","0900","0900","0900","0900","0900","0900","1000","1000","028","20","127.01300955831917","37.60248852498065","2022-07-20 17:41:59.0"
"C1104257","서울특별시 관악구 대학길 36 (신림동)","강원약국","02-874-4575","2130","2130","2130","2130","2130","2130","2230","2130","0900","0900","0900","0900","0900","0900","1000","0900","088","13","126.93757308577337","37.46912465885686","2022-07-20 17:41:59.0"
"C1109074","서울특별시 강동구 아리수로93나길 54 경서프라자 103호 (강일동)","강일수약국","02-428-4070","1800","1800","1800","1800","1800","1800","2230","2130","0900","0900","0900","0900","0900","0900","1000","0900","052","01","127.174852988118","37.5722001938647","2022-07-20 17:42:00.0"
"C1102833","서울특별시 강동구 아리수로97길 19","강일약국","02-426-8192","1800","1800","1800","1800","1800","1400","2230","2130","0900","0900","0900","0900","0900","0900","1000","0900","052","10","127.1771641935715","37.5666008887246","2022-07-20 17:42:00.0"
"C1109087","서울특별시 강동구 아리수로93나길 60 골드프라자 109호 (강일동)","강일윤약국","02-3427-2081","1900","1900","1900","1900","1900","1300","2230","2130","0830","0830","0830","0830","0830","0830","1000","0900","054","15","127.175179201458","37.5722862056733","2022-07-20 17:42:00.0"
"C1107699","서울특별시 강남구 역삼로 310 한솔필리아 2층 26호 (역삼동)","개나리봄약국","02-501-8284","1900","1900","1900","1900","1900","1400","2230","2130","0900","0900","0900","0900","0900","0900","1000","0900","062","17","127.0484199573","37.4992357232","2022-07-20 17:42:00.0"
"C1108414","서울특별시 송파구 오금로 396 1층 114호 (가락동 에스케이허브파크)","개롱약국","02-407-4609","2000","2000","2000","2000","2000","1600","2230","2000","0900","0900","0900","0900","0900","0900","1000","1200","057","69","127.13421559367089","37.49795484707022","2022-07-20 17:42:00.0"
"C1101995","서울특별시 성북구 장월로 128 (장위동)","개미약국","02-915-7770","1900","1900","1900","1900","1900","1500","2230","2000","0840","0840","0840","0840","0840","0840","1000","1200","027","66","127.0496106336177","37.61680454698578","2022-07-20 17:42:00.0"
"C1103013","서울특별시 구로구 고척로 123-1 (개봉동)","개봉지예당약국","02-2681-0292","2030","2030","2030","2030","2030","2030","2230","2000","0830","0830","0830","0830","0830","0830","1000","1200","082","47","126.8478204819149","37.50222853957776","2022-07-20 17:42:00.0"
"C1104117","서울특별시 구로구 경인로 176 308호 (오류동 시티월드)","개성약국","02-2615-1862","1800","1800","1800","1800","1800","1300","2230","2000","0900","0900","0900","0900","0900","0900","1000","1200","082","71","126.841048713","37.4943597757","2022-07-20 17:42:00.0"
"C1101403","서울특별시 강남구 개포로 303","개포메디칼약국","02-574-5410","2030","2030","2030","2030","2030","2030","2230","2000","0930","0930","0930","0930","0930","0930","1000","1200","063","20","127.05569218804044","37.482721150371404","2022-07-20 17:42:00.0"
"C1104795","서울특별시 강남구 선릉로 42 1층 (개포동)","개포종로온누리약국","02-575-2485","2000","2000","2000","2000","2000","2000","2230","1700","0900","0900","0900","0900","0900","0900","1000","0900","063","25","127.06003728754282","37.48338707748944","2022-07-20 17:42:00.0"
"C1108521","서울특별시 강남구 선릉로 30 개포빌딩 1층 (개포동)","개포플러스약국","02-579-2570","2000","2000","2000","2000","2000","1500","2230","1700","0900","0900","0900","0900","0900","0900","1000","0900","063","25","127.06117626671926","37.48251431691495","2022-07-20 17:42:00.0"
"C1103507","서울특별시 강서구 양천로 31","개화약국","02-2662-8028","2200","2200","2200","2200","2200","2200","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","075","16","126.80748981969865","37.5729042426401","2022-07-20 17:42:00.0"
"C1107272","서울특별시 강남구 선릉로 843 107호","갤러리아온누리약국","02-517-0129","2100","2100","2100","2100","2100","1800","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","060","18","127.04021117368292","37.52721678014953","2022-07-20 17:42:00.0"
"C1107363","서울특별시 강남구 학동로20길 55 106호","갤러리약국","02-6227-5578","2230","2230","2230","2230","2230","2230","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","061","15","127.0271994485","37.5100798078","2022-07-20 17:42:00.0"
"C1103582","서울특별시 송파구 올림픽로 212 (잠실동 갤러리아팰리스)","갤러리약국","02-412-8579","1900","1900","1900","1900","1900","1600","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","055","53","127.09343142846042","37.51137481795607","2022-07-20 17:42:00.0"
"C1102079","서울특별시 서대문구 응암로 53","거북당약국","02-372-0744","1900","1900","1900","1900","1900","2000","2100","2100","1000","1000","1000","1000","1000","0900","0900","0900","036","81","126.90982399033794","37.57825379852356","2022-07-20 17:42:00.0"
"C1102081","서울특별시 송파구 오금로 505 (거여동)","거여서울약국","02-2043-3800","2000","2000","2000","2000","2000","1700","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","057","68","127.14484107258158","37.49319579062089","2022-07-20 17:42:00.0"
"C1107918","서울특별시 강남구 봉은사로 129 지하1층 (논현동 거평타운)","거평원온누리약국","02-544-4567","1830","1830","1830","1830","1830","1400","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","061","21","127.0283153517","37.505916903","2022-07-20 17:42:00.0"
"C1108707","서울특별시 송파구 중대로 135 동관 1층 101-4호 (가락동)","강약국","02-2142-3770","1900","1900","1900","1900","1900","1400","2230","1800","0900","0900","0900","0900","0900","0900","1000","0900","057","17","127.122426977874","37.4950959654807","2022-05-20 17:41:58.0"
"C1103009","서울특별시 서초구 서초대로 307  (서초동)","건강과행복이열리는약국","02-591-3399","2100","2100","2100","2100","2100","2100","2100","2100","0900","0900","0900","0900","0900","0900","1300","1300","066","06","127.0151302623","37.4944044698","2022-07-20 17:42:00.0"
