,사업장명,도로명주소,경도,위도,geometry
23,국제약국,서울특별시 강서구 방화동로 40 A동 1층 좌측호 (공항동),183282.035334219,451326.263791811,POINT (938945.5860610428 1951858.4295394574)
24,곰약국,서울특별시 중구 마른내로 103(오장동),199880.056639882,451366.973399923,POINT (955537.3674856699 1951810.6059657515)
25,우리동네맘약국,서울특별시 양천구 남부순환로 603 1층 (신월동),185844.235783864,445899.245694786,POINT (941477.8824625479 1946419.8242929224)
26,진한약국,서울특별시 강동구 고덕로 133 강동롯데캐슬퍼스트아파트  상가 지하1층 1039호 (암사동),212334.9584644,450346.790651613,POINT (967981.7877225233 1950724.4244212578)
27,당산봄약국,서울특별시 영등포구 양평로 20(당산동6가),,,POINT EMPTY
28,동의보감한약국,서울특별시 강남구 헌릉로571길 56-1 101호 (세곡동),208666.194410648,440614.372755433,POINT (964262.6886029826 1941015.5331324032)
29,일등약국,서울특별시 관악구 관악로 154 1층 (봉천동),195741.164752348,441862.053352551,POINT (951349.473678635 1942331.4984934551)
30,강서튼튼약국,서울특별시 강서구 마곡서로 56 마곡에스비타워Ⅲ 1층 103호 (마곡동),,,POINT EMPTY
31,서초우리약국,서울특별시 서초구 반포대로27길 13 2층 206호 (서초동 서초꽃마을 주얼리),200601.352689145,443052.573822557,POINT (956214.0743245286 1943495.6756722003)
32,아란약국,서울특별시 강서구 마곡중앙1로 10 1층 117호 (마곡동),,,POINT EMPTY
33,참바른약국,서울특별시 관악구 신원로 35 삼모 더 프라임 타워 1층 (신림동),193643.274303943,442230.03574985,POINT (949254.3647577044 1942710.5032427432)
34,홍제 오늘약국,서울특별시 서대문구 통일로 460 2층 (홍제동),194929.118373323,454154.612346047,POINT (950603.2571692613 1954623.552956703)
35,신용산수약국,서울특별시 용산구 한강대로 109 용성비즈텔 지하2층 227233호 (한강로2가),197117.41843467,447527.338271365,POINT (952755.3563503923 1947987.220571402)
36,연세약국,서울특별시 강서구 화곡로 161 대성빌딩 104105호 (화곡동),185712.852329857,448856.181147257,POINT (941362.3062354147 1949376.3282711005)
37,차돌약국,서울특별시 송파구 석촌호수로 61 트리지움 147호 (잠실동),207553.918225133,445383.338011122,POINT (963176.2529954769 1945788.4792284574)
38,사랑찬약국,서울특별시 관악구 과천대로 909 남현프라자 지하2층 (남현동),198374.473281221,441033.513044892,POINT (953977.3330437557 1941489.2705268243)
39,맑은샘약국,서울특별시 송파구 동남로 236 2층 (가락동),211740.531899831,443929.158344194,POINT (967353.412229941 1944312.5984531785)
40,성모자이약국,서울특별시 은평구 통일로 1034 1층 129호 (진관동 은평 스카이뷰 자이),192753.216982098,459905.785470521,POINT (948458.9141359711 1960384.0910195478)
41,동아약국,서울특별시 강북구 도봉로 118 1층 (미아동),202505.463035001,457459.84361516,POINT (958194.2373891426 1957887.0319765978)
42,신사온누리약국,서울특별시 강남구 강남대로 598 보림빌딩 지하1층 (논현동),201724.754920521,445884.112215981,POINT (957352.1068601334 1946320.1007593141)
43,사과약국,서울특별시 강서구 강서로 391 108호 (마곡동 문영비즈웍스),185674.0,450942.0,POINT (941334.5894309755 1951461.55612294)
44,마곡하나약국,서울특별시 강서구 강서로 385 106호 (마곡동 우성에스비타워),185660.0,450884.0,POINT (941320.2854929053 1951403.6529736172)
45,명문약국,서울특별시 종로구 통일로 254 1층 지하1층 (무악동),196193.491497926,452516.646583755,POINT (951858.3942170108 1952979.4861162817)
46,서초제일약국,서울특별시 서초구 방배로 111 1층 (방배동 근복빌딩),199540.273530981,442416.709711393,POINT (955150.0325597232 1942865.7133444487)
47,라파온누리약국,서울특별시 도봉구 우이천로4길 42 1층 (창동),203610.851405285,459075.856049098,POINT (959307.8117857362 1959496.4921701779)
48,우리온누리약국,서울특별시 강남구 남부순환로397길 57 1층 1호 (대치동 대치메디칼센터),205090.67025038,443432.311287388,POINT (960703.6128830912 1943851.359829839)
49,메디팜 정다운약국,서울특별시 강서구 마곡중앙5로 87 107호 (마곡동 우성르보아투),183837.0,451687.0,POINT (939502.2636033855 1952216.068714698)
50,조은약국,서울특별시 강서구 마곡중앙로 36 상가 107-1호 (마곡동 마곡엠벨리 15단지),184907.556311,450884.615433,POINT (940568.1326442724 1951408.280679208)
51,미즈정문약국,서울특별시 강서구 강서로 299 1층 (내발산동),185437.626964196,450042.953947504,POINT (941093.512899418 1950564.114359016)
52,을지수온누리약국,서울특별시 중구 마른내로 12 12층 (저동2가),198969.501124475,451369.406665283,POINT (954627.1869362884 1951817.8941364097)
53,365종로약국,서울특별시 동대문구 전농로 60-1 1층 (답십리동),205002.022396674,452000.084765874,POINT (960660.6566692109 1952416.1472965535)
54,아름드리약국,서울특별시 강서구 강서로56길 30 1층 코너호 (등촌동),185824.526632938,450795.641783325,POINT (941484.2779904045 1951314.451222989)
55,아침햇살약국,서울특별시 구로구 시흥대로 563 동연빌딩 1층 (구로동),191209.106092001,442361.551816606,POINT (946821.8453485776 1942854.9254677186)
56,푸른소나무약국,서울특별시 종로구 삼봉로 81 207호 (수송동 두산위브파빌리온),198324.653631679,452252.812389497,POINT (953987.3067885155 1952704.388555497)
57,봄약국,서울특별시 동대문구 장한로32길 7 장안동의료시설 1층 (장안동),206344.162717169,452578.5598439,POINT (962005.3397262479 1952987.2297883523)
58,이화약국,서울특별시 영등포구 신길로 28 (신길동),191892.606363416,443679.272217418,POINT (947512.0953429843 1944168.4945156504)
59,굿케어약국,서울특별시 강남구 선릉로 719 103호 (논현동),203502.861991414,446297.685033799,POINT (959131.7041960389 1946724.0356480372)
60,청춘약국,서울특별시 은평구 통일로 724 1층 (불광동),193784.756952473,456445.07450097,POINT (949471.5692308093 1956919.224568365)
61,이수다온약국,서울특별시 서초구 서초대로 13 1동 1층 101호 (방배동),198504.826881916,442641.079956283,POINT (954116.191298598 1943095.5064693694)
62,새희망약국,서울특별시 영등포구 영등포로 146-1 1층 2호 (당산동1가),190882.372493293,446517.198171066,POINT (946517.3695341407 1947010.6979661635)
63,한티미소약국,서울특별시 강남구 선릉로 314 2층 201-2호 (대치동),204564.361376322,443958.728670181,POINT (960180.3191238795 1944380.3671780177)
64,행운약국,서울특별시 종로구 대명길 21-2(명륜4가),199962.604990631,453436.638718613,POINT (955630.9225335777 1953879.0068930374)
65,백세비타민약국,서울특별시 구로구 디지털로26길 98 101호 (구로동 디지털탑프라자),190850.393432023,442160.748706313,POINT (946462.2030503562 1942656.1098038405)
66,홍대어울림약국,서울특별시 마포구 어울마당로 128 1층 (서교동),193239.907231352,450384.800414378,POINT (948894.5997809182 1950864.2283052427)
67,바라기한약국,서울특별시 강남구 학동로81길 9 1층 101호 (청담동),204393.904459532,446390.567809254,POINT (960022.8829521148 1946812.134178467)
68,원당프라자약국,서울특별시 관악구 남부순환로248길 15 1층 (봉천동),196898.641133589,441462.735611261,POINT (952504.3687216673 1941926.1775770653)
69,이안약국,서울특별시 양천구 국회대로 252 (신정동),187823.500716444,447457.457884414,POINT (943464.6900312318 1947966.8928239022)
70,대교약국,서울특별시 영등포구 여의대방로 383 (여의도동),193870.812916718,446351.97420108,POINT (949503.7648546408 1946829.6170535393)
71,튼튼약국,서울특별시 동작구 사당로 215 서림빌딩 112호 (사당동),197486.50162645,442493.781452129,POINT (953097.48499776 1942953.6871543492)
72,이레온누리약국,서울특별시 중랑구 겸재로 237 1층 (망우동),208235.327579195,454200.383581749,POINT (963904.3888113494 1954598.3055430697)
73,더블유약국,서울특별시 송파구 올림픽로 100 효창타워 1층 (잠실동),207153.675,445475.165,POINT (962776.6613859967 1945882.4007232785)
74,동인프라자약국,서울특별시 양천구 남부순환로40길 13 (신월동),184728.728549355,448073.358078676,POINT (940374.3859821723 1948599.0497111152)
75,우경약국,서울특별시 관악구 호암로 528 1층 (신림동),193892.555374374,440285.417442582,POINT (949493.1990789801 1940765.3191046002)
76,현대약국,서울특별시 종로구 통일로 246-10 113호 (무악동),196467.975088253,452566.134030104,POINT (952133.0335798255 1953027.4898993047)
77,숭인다모아약국,서울특별시 종로구 지봉로8길 54 (숭인동),201326.599610056,452717.098050476,POINT (956990.5345093745 1953152.476795735)
78,독일약국,서울특별시 종로구 종로 314 (창신동),201047.506702961,452179.50932328,POINT (956708.6855925357 1952616.591544391)
79,열린약국,서울특별시 종로구 종로 204 12층 (종로4가),199965.982275193,452047.869956029,POINT (955626.8902912677 1952490.7731559505)
80,인앤아웃약국,서울특별시 종로구 종로 19 421호 (종로1가),198226.418915,452367.18397,POINT (953889.7210524173 1952819.238777012)
81,바로약국,서울특별시 종로구 종로 33 지하1층 137호 (청진동),198286.311784052,452091.444332546,POINT (953948.1194381743 1952543.2889728162)
82,혜화약국,서울특별시 종로구 혜화로 8 (혜화동),199977.671430146,453798.839565391,POINT (955647.9154254433 1954240.98311017)
83,남영약국,서울특별시 종로구 삼일대로 461 (경운동 운현궁SK허브),198658.943470079,452604.254902527,POINT (954323.3386712358 1953053.9085650921)
84,보광약국,서울특별시 종로구 대학로 93-3 1층 (연건동),200083.011020794,453020.339609285,POINT (955749.0597081338 1953462.231242934)
85,효성약국,서울특별시 종로구 창신길 95 (창신동),200840.8822373,452618.366062301,POINT (956504.4844598826 1953056.3751820906)
86,신두산약국,서울특별시 종로구 지봉로 39-1 1층 (창신동),201294.782989882,452365.246138318,POINT (956956.853787827 1952800.935226194)
87,종로백세약국,서울특별시 종로구 종로 221 1층 (종로5가),200133.776191654,452108.291497711,POINT (955794.9396512768 1952550.2756812028)
88,서울종로약국,서울특별시 종로구 대학로 117 (명륜4가),200076.577391638,453279.402204752,POINT (955744.0106868547 1953721.2249609209)
89,신동화약국,서울특별시 종로구 종로 267-1 (종로6가),200606.713585512,452118.028284083,POINT (956267.7404694459 1952557.486098909)
90,소망약국,서울특별시 종로구 종로 335 1층 (창신동 원풍빌딩),201238.696068454,452317.86559669,POINT (956900.5365543532 1952753.872780822)
91,광화문윤약국,서울특별시 종로구 세종대로 159 4층 (세종로),197841.421685319,452035.176830457,POINT (953503.105441435 1952489.4166493672)
92,경희궁햇살약국,서울특별시 종로구 송월길 99 203동 2218호 (홍파동 경희궁자이 2단지),196790.337498006,452053.37216059,POINT (952452.5337629203 1952513.2108965795)
93,태평양약국,서울특별시 종로구 수표로20길 43 1층 (종로3가),199217.330753904,451974.244323975,POINT (954878.1438532633 1952421.1697932738)
94,종로한사랑약국,서울특별시 종로구 종로 344 309호 (숭인동),201350.473375538,452279.7442603,POINT (957012.0658620618 1952715.1704774129)
95,제일약국,서울특별시 종로구 삼봉로 74 (청진동),198277.599730607,452200.56645835,POINT (953939.9928663096 1952652.4143121815)
96,건강한세상약국,서울특별시 종로구 새문안로 21 123지하1층 (평동),197100.454914007,451691.194358665,POINT (952760.59706162 1952149.5221272747)
97,성진약국,서울특별시 종로구 창경궁로 271-1 (혜화동),199984.033653033,453695.726399703,POINT (955653.7249603298 1954137.8770652413)
98,종오약국,서울특별시 종로구 종로 195-1 1층 (종로4가),199882.647991577,452093.10315864,POINT (955543.8304403103 1952536.4328217444)
99,보령약국,서울특별시 종로구 종로 203 (종로5가),199959.551993815,452096.434395533,POINT (955620.7215945583 1952539.3525533467)
100,통인한약국,서울특별시 종로구 필운대로6길 29 (통인동),197233.272130098,453077.016609877,POINT (952900.753801754 1953534.0882846988)
101,중앙약국,서울특별시 종로구 경교장길 5 1.2층 (교남동),196897.919369076,451682.186997114,POINT (952558.0934629659 1952141.5984987828)
102,신세계약국,서울특별시 종로구 종로 124-1 (종로3가),199170.878365603,451982.38164359,POINT (954831.7533216393 1952429.5516348444)
103,신서대문대학약국,서울특별시 종로구 경교장1길 1 1층 (교남동),196895.299918938,451690.419790653,POINT (952555.5189546798 1952149.8420116724)
104,다나약국,서울특별시 종로구 종로 128 302호 (종로3가),199214.548011588,451983.042894684,POINT (954875.409144128 1952429.9797093284)
105,신백제약국,서울특별시 종로구 종로 243 1층 (종로5가),200363.217845298,452115.190202487,POINT (956024.326677359 1952555.94787283)
106,캐슬온누리약국,서울특별시 종로구 종로 347 207호 (숭인동 롯데캐슬천지인상가),201359.53353905,452395.659064842,POINT (957021.7406808481 1952830.9906217412)
107,푸른온누리약국,서울특별시 종로구 새문안로 19 (평동),197094.551652537,451683.728773742,POINT (952754.6563161561 1952142.0909755481)
108,경일약국,서울특별시 종로구 평창문화로 35 (평창동),196860.893154849,455863.128343879,POINT (952543.3894207703 1956321.0863797853)
109,부광약국,서울특별시 종로구 종로 223-1 (종로5가),200162.160792507,452105.858530793,POINT (955823.2999685432 1952547.6922898702)
110,글로리아약국,서울특별시 종로구 평창문화로 75 A109호 (평창동 글로리아타운),197212.364862058,456055.205802855,POINT (952895.7475725384 1956511.2118250397)
111,옥광약국,서울특별시 종로구 창경궁로 162-1 (원남동),199704.627470663,452731.904711468,POINT (955369.2881320764 1953175.9296718654)
112,하트약국,서울특별시 종로구 대학로 128 1층 (동숭동),200120.54634178,453378.347646612,POINT (955788.4899960078 1953819.8964110017)
113,영화약국,서울특별시 종로구 종로41길 47 (종로6가),200449.551038573,452334.550076414,POINT (956111.7954730984 1952774.7598069261)
114,새현대약국,서울특별시 종로구 사직로 130 38호 (적선동),197567.849954354,452607.767361081,POINT (953232.6961256426 1953063.239786576)
115,인성약국,서울특별시 종로구 통일로 250 (무악동),196216.695084581,452495.361879798,POINT (951881.4751235553 1952958.086029478)
116,한마음약국,서울특별시 종로구 창경궁로 158 (원남동),199716.33793479,452685.639262724,POINT (955380.747142022 1953129.6201669816)
117,국일약국,서울특별시 종로구 종로16길 12 (관철동),198914.988666314,451918.932552893,POINT (954575.6268412031 1952367.4925366205)
118,은성약국,서울특별시 종로구 삼일대로 434 (낙원동),198882.395618489,452339.533341108,POINT (954545.2900940386 1952788.1001654519)
119,동시약국,서울특별시 종로구 종로 202-1 (종로4가 동흥빌딩),199952.240592763,452032.258639972,POINT (955613.0708156325 1952475.2413488675)
120,보성온누리약국,서울특별시 종로구 명륜길 22 (명륜1가),199547.888288286,454013.33417032,POINT (955219.4477845046 1954457.685499811)
121,김해약국,서울특별시 종로구 종로 206 (종로5가),199990.62229221,452046.010235692,POINT (955651.5105785348 1952488.7827563228)
122,동남약국,서울특별시 종로구 종로 124 (종로3가),199160.928868703,451981.453721531,POINT (954821.8028283544 1952428.6771475335)
123,세민약국,서울특별시 종로구 자하문로7길 73 101호 (누하동 트라이빌),197174.330909636,453120.283745616,POINT (952842.0666943018 1953577.6527591632)
124,동서약국,서울특별시 종로구 종로 222 (종로5가),200138.733378102,452051.937702775,POINT (955799.5942928387 1952493.91789771)
125,세종약국,서울특별시 종로구 세종대로23길 54 세종빌딩 지하1층 130호 (당주동),197573.030749573,452175.335781858,POINT (953235.5682733819 1952630.951649453)
126,내자약국,서울특별시 종로구 사직로 107 1층 (내자동 한빛빌딩),197348.44253811,452671.549044338,POINT (953013.7157010112 1953128.166626986)
127,진약국,서울특별시 종로구 돈화문로9가길 20 (돈의동),199139.803772434,452209.328979395,POINT (954801.9015347441 1952656.5745386595)
128,종로오가약국,서울특별시 종로구 종로 213-1 (종로5가),200066.59446289,452098.925029739,POINT (955727.7347232717 1952541.2712685794)
129,새종로약국,서울특별시 종로구 종로 199-2 (종로4가),199926.168965464,452095.076003705,POINT (955587.3446116623 1952538.172755772)
130,광장약국,서울특별시 종로구 종로 193-2 12층 (종로4가),199861.781676106,452087.106012953,POINT (955522.9404440023 1952530.5493570925)
131,종로온누리약국,서울특별시 종로구 종로 293 1층 (창신동 하나저축은행),200859.564314933,452177.037254117,POINT (956520.8050506512 1952615.1228941688)
132,동인약국,서울특별시 종로구 창신길 11 (창신동),200856.552725308,452215.161208068,POINT (956517.998006331 1952653.247692656)
133,대흥사약국,서울특별시 종로구 돈화문로6가길 40 (봉익동),199243.356283503,452246.698859598,POINT (954905.6122269824 1952693.3772398653)
134,공생약국,서울특별시 종로구 종로 228 1층 (종로5가),200203.297469054,452045.54688416,POINT (955864.0985771767 1952487.1852668072)
135,종로약국,서울특별시 종로구 종로 195 (종로4가),199870.080275739,452092.183279631,POINT (955531.2628207838 1952535.580340713)
136,새동서약국,서울특별시 종로구 동호로 403 19호 (종로5가),200077.144414946,452023.159595412,POINT (955737.8763703664 1952465.479744397)
137,함춘약국,서울특별시 종로구 대학로 93 대한성공회 대학로교회 12층 (연건동),200089.912432586,453033.480875827,POINT (955756.0284752754 1953475.3304578157)
138,대박약국,서울특별시 종로구 종로 19 3층 327호 (종로1가 르메이에르종로타운),198150.300374121,452019.212642931,POINT (953811.7766649583 1952471.811345344)
139,엄약국,서울특별시 종로구 종로 227 (종로5가 엄약국),200196.450522845,452110.362966629,POINT (955857.6000635613 1952552.0120412458)
140,단골온누리약국,서울특별시 종로구 지봉로 50 (숭인동 필빌딩),201341.677424554,452471.587514595,POINT (957004.2967043594 1952906.9839653296)
141,대경약국,서울특별시 종로구 종로51나길 2 (창신동),201016.051671529,452256.135288263,POINT (956677.6518260998 1952693.3546805568)
142,금왕약국,서울특별시 종로구 창신5길 19 (창신동),200955.886418384,452399.33451353,POINT (956618.2744025448 1952836.8176368892)
143,제신약국,서울특별시 종로구 종로 266 D동 (종로6가 동대문종합시장),200655.953572712,452035.347658612,POINT (956316.519829399 1952474.575830589)
144,메디칼서울약국,서울특별시 종로구 대학로9길 6 1층2층 (명륜4가),200065.195268613,453279.735893133,POINT (955732.6348774008 1953721.619239243)
145,봄약국,서울특별시 종로구 지봉로 37-1 1층 (창신동),201284.618587826,452338.089023093,POINT (956946.5485940195 1952773.8431804094)
146,수도약국,서울특별시 종로구 인사동길 40 (관훈동),198618.550103332,452417.125430606,POINT (954281.9631568206 1952867.0688054801)
147,정성약국,서울특별시 종로구 종로 399 (숭인동),201835.642245974,452536.763657871,POINT (957498.4116316895 1952969.4992007685)
148,정문약국,서울특별시 종로구 창경궁로 162-2 (원남동),199725.275938405,452734.287328161,POINT (955389.9410936952 1953178.201194311)
149,마이팜약국,서울특별시 종로구 통일로16길 2 (무악동),196156.927737704,452575.432706654,POINT (951822.1584421665 1953038.4441103602)
150,인제약국,서울특별시 종로구 종로 194 (종로4가),199857.336169527,452038.509639452,POINT (955518.2375124871 1952481.9960402746)
151,국화약국,서울특별시 종로구 평창11길 3 1층 (평창동 쇼핑센타뉴본),196965.164175084,455959.269196762,POINT (952648.1324495185 1956416.6326761337)
152,종로프라자약국,서울특별시 종로구 자하문로 63 (옥인동),197331.05502294,453256.667445308,POINT (952999.4564587597 1953713.1464423665)
153,희망약국,서울특별시 종로구 율곡로 204 (연건동),200064.606756121,452621.221821863,POINT (955728.5337053657 1953063.3706182786)
154,참약국,서울특별시 종로구 종로 22 606호 (서린동 인주빌딩),198130.982574569,451955.795979598,POINT (953792.1282813287 1952408.5228421842)
155,대도약국,서울특별시 종로구 우정국로 38-1 1층 (견지동),198451.20372143,452243.628877399,POINT (954113.7577254757 1952694.533686032)
156,현대온누리약국,서울특별시 종로구 율곡로 75 지하1층 (계동),198817.289034611,452901.786745273,POINT (954483.2085500434 1953350.4776433837)
157,신코아약국,서울특별시 종로구 종로12길 23 1층 (관철동),198686.19085244,451852.05285101,POINT (954346.5631334317 1952301.8596622455)
158,청자약국,서울특별시 종로구 명륜길 70 (명륜3가),199386.941036347,454167.353128887,POINT (955059.3863515441 1954612.5019899553)
159,보람약국,서울특별시 종로구 종로 326 (창신동),201166.750150846,452223.968412735,POINT (956828.1185487311 1952660.3968606973)
160,성당약국,서울특별시 종로구 수표로 115 1층 (낙원동),198963.61017739,452139.796865021,POINT (954625.4070493487 1952588.0098169)
161,한독약국,서울특별시 종로구 동숭길 52 (동숭동),200322.341016105,453141.774016418,POINT (955988.942165879 1953582.3405024176)
162,백화점약국,서울특별시 종로구 종로 234-1 (종로5가),200261.371462064,452052.440881296,POINT (955922.186201 1952493.7667736576)
163,지영오행당약국,서울특별시 종로구 성균관로 32-2 (명륜2가),199672.623000243,453693.048895616,POINT (955342.4239736401 1954136.8621239509)
164,동아약국,서울특별시 종로구 종로 192 (종로4가),199848.545951919,452035.159657949,POINT (955509.4329262001 1952478.6942757496)
165,광교약국,서울특별시 종로구 청계천로 49 (관철동),198439.799223407,451866.713438674,POINT (954100.3474196234 1952317.8285442058)
166,사랑약국,서울특별시 종로구 진흥로 432 1층 3호 (구기동),196092.743907822,456198.595931715,POINT (951777.3338851421 1956660.5220019042)
167,시민약국,서울특별시 종로구 자하문로 2 (적선동),197521.540529717,452673.955182068,POINT (953186.7580828291 1953129.6484520326)
168,종로우리약국,서울특별시 종로구 종로 202 1층 (종로4가),199936.446035826,452044.181328925,POINT (955597.3461376304 1952487.243531978)
169,참조은약국,서울특별시 종로구 종로 266 동대문종합시장 A동 7층 705호 (종로6가),200542.258243379,452057.126859583,POINT (956202.9860072812 1952496.9527472311)
170,열린온누리약국,서울특별시 종로구 숭인동길 21 (숭인동 종로청계힐스테이트상가 가동 101호),201798.834918812,452637.556986205,POINT (957462.1566803169 1953070.4485237726)
171,소담약국,서울특별시 종로구 성균관로 18 (명륜2가),199723.347794924,453565.897387933,POINT (955392.4501912092 1954009.4905834298)
172,이약국,서울특별시 종로구 지봉로 43 (창신동),201287.830448121,452415.717110982,POINT (956950.173233634 1952851.4231121184)
173,종각팜약국,서울특별시 종로구 종로 68 대한기독교서회 1층 (종로2가),198670.211276,452261.408391,POINT (954332.7732490628 1952711.1379939485)
174,온유약국,서울특별시 종로구 종로 205 (종로5가),199982.481574081,452096.334234382,POINT (955643.6415110402 1952539.1301337434)
175,서울위드팜약국,서울특별시 종로구 대학로 119 1 2층 (명륜4가),200076.361629058,453291.955608107,POINT (955743.8619818767 1953733.7745146242)
176,서대문권약국,서울특별시 종로구 새문안로 15-1 1층 (평동),197056.75935224,451658.76871749,POINT (952716.7458257256 1952117.3423356777)
177,명륜시장약국,서울특별시 종로구 성균관로 56-1 (명륜1가),199648.791361407,453932.166381959,POINT (955319.8776328403 1954376.0116160035)
178,종로세란약국,서울특별시 종로구 종로41길 4 (종로6가),200537.031717848,452131.345255265,POINT (956198.1574199293 1952571.16941828)
179,성심약국,서울특별시 종로구 지봉로 61 1층 (창신동),201296.894098318,452581.682223244,POINT (956960.1185301623 1953017.2735482587)
180,민약국,서울특별시 종로구 사직로12길 26 (내자동),197356.645348297,452516.581068896,POINT (953021.0886315707 1952973.2161674013)
181,동호약국,서울특별시 종로구 성균관로 53 (명륜3가),199616.485901108,453902.575661941,POINT (955287.4271391277 1954346.6050398834)
182,충신약국,서울특별시 종로구 율곡로 259 (충신동),200533.129306904,452412.436347914,POINT (956195.755857297 1952852.1692167073)
183,옥인온누리약국,서울특별시 종로구 자하문로2길 4 103호 (적선동 경복빌딩),197538.542807564,452679.892786314,POINT (953203.7853091607 1953135.49301176)
184,정민약국,서울특별시 종로구 대학로9길 37 (명륜4가),199929.911959895,453296.399822007,POINT (955597.4943408065 1953738.9982602154)
185,종근당약국,서울특별시 종로구 종로 230-1 (종로5가),200222.040360666,452054.493221716,POINT (955882.8817174246 1952496.0280724491)
186,우리약국,서울특별시 종로구 옥인길 32-5 (옥인동),196996.645492903,453200.309483888,POINT (952664.8783970815 1953658.594806314)
187,숭인약국,서울특별시 종로구 종로 407 (숭인동),201902.807079609,452577.361167222,POINT (957565.7661357837 1953009.7221945138)
188,서울온누리약국,서울특별시 종로구 대학로5길 54 1층 (연건동 우욱하우스),200059.873692592,453015.165320296,POINT (955725.9039921288 1953457.1824446183)
189,힐링약국,서울특별시 종로구 종로5길 13 삼공빌딩 지하1층 (청진동),198207.279003982,452082.344195698,POINT (953869.0694402083 1952534.6139777636)
190,창신사랑온누리약국,서울특별시 종로구 지봉로 77-3 1층 (창신동),201276.672713985,452735.604634862,POINT (956940.7262846773 1953171.2423088916)
191,엄마약국,서울특별시 종로구 종로 193-1 1층 (종로4가),199857.629343471,452086.049597792,POINT (955518.7841296017 1952529.515509537)
192,파랑새약국,서울특별시 종로구 대학로 121 1호 2호 (명륜4가),200072.519917216,453304.387331412,POINT (955740.088122838 1953746.2217810464)
193,정다운약국,서울특별시 종로구 종로 339 1층 (창신동),201267.220553388,452320.257853717,POINT (956929.0624021941 1952756.1119360798)
194,종로백제약국,서울특별시 종로구 종로 235 백제약국 1층 (종로5가),200283.081116867,452107.769442271,POINT (955944.182306758 1952548.9574925)
